suite,phase,value_bytes,clients,variant,samples,ops_per_second,logical_gib_s,physical_gib_s,cpu_cores,cpu_us_per_op,seconds,p50_us,p99_us,p999_us,min_ops_per_second,max_ops_per_second
final,write,1024,2560,cleaned,3,39160897.578456655,37.34674222798982,53.687081684859024,19.19728615266604,0.4912246704101563,0.066940243,,,,34064769.999778315,39384739.053642765
final,write,4096,2560,baseline,6,19280571.5825961,73.54954369581642,75.84868166723007,18.91973814212043,0.9795693200879282,0.1354328475,,,,17739182.549375873,19656386.680500202
final,write,4096,2560,cleaned,3,19489121.433671847,74.34509824246157,76.66910502440226,18.892033553347662,0.9730168273833687,0.133983464,,,,19383974.4100241,19616209.605046432
final,write,65536,2560,baseline,6,578176.7702596446,35.28910951291776,39.70051750231876,16.804530154758226,29.10973443223443,0.2833356725,,,,555926.7182830257,633776.3809418568
final,write,65536,2560,cleaned,3,581880.7203350815,35.51518068451425,39.95484929557215,16.75641137051757,28.907222222222224,0.281500992,,,,530911.9650822507,587758.6937091021
final,write,4194304,620,baseline,6,10024.713900274173,39.15903867294599,39.238968111033174,16.345206751046447,1639.9541015625,4.0859551015,,,,9759.570349173498,10106.897693430728
final,write,4194304,620,cleaned,3,10106.929074037462,39.480191695458835,39.56077665476153,16.462485041388966,1629.163916015625,4.052665226,,,,10104.86721412941,10177.06477446383
long_write,read,100,640,baseline,6,10004688.377865648,0.9317592138299391,38.164857398474304,19.994676908866953,1.9985901718543528,1.000339097,62.079,112.447,146.87900000000002,9990618.686759766,10013191.098193591
long_write,read,100,640,reuse_encoded_metadata,3,10018013.816310886,0.9330002419940089,38.21568991207461,19.99328372582461,1.9957332952837852,1.000410905,62.015,112.447,146.815,10011891.063902387,10019629.10769224
long_write,read,100,640,single_reap,3,10009007.422499577,0.9321614562067739,38.181333246229464,19.994226037690304,1.9976796004993758,1.000377157,62.047,112.447,146.815,10008725.139252655,10010992.240590129
long_write,read,1024,640,baseline,6,9939955.06744966,9.479479854058894,37.91791941623558,19.986139963245954,2.0107255629362717,1.000346141,61.919,107.583,138.047,9930571.75560098,9949246.519659406
long_write,read,1024,640,reuse_encoded_metadata,3,9945111.997651534,9.484397885943922,37.93759154377569,19.985994602385468,2.009766441676155,1.000388592,61.887,107.519,138.367,9905151.467682596,9947759.380286897
long_write,read,1024,640,single_reap,3,9938497.437301585,9.478089749623857,37.91235899849543,19.98784771218658,2.0113652457301496,1.000359783,61.951,107.647,138.111,9929245.626220861,9945038.571772208
long_write,read,4096,640,baseline,6,8680559.344114084,33.11370599408754,66.22741198817508,19.99413550268791,2.3033117695468546,1.0003659945,70.047,123.87100000000001,158.527,8673528.711813394,8686120.615705777
long_write,read,4096,640,reuse_encoded_metadata,3,8694141.299321175,33.16551704147787,66.33103408295574,19.993753579802792,2.2997774343470394,1.000380437,69.951,123.775,158.335,8693313.74180001,8694254.926920714
long_write,read,4096,640,single_reap,3,8684576.04138844,33.12902847819687,66.25805695639374,19.99372850799644,2.302372229879512,1.000374392,70.015,123.775,158.463,8679949.652300747,8685863.082348874
long_write,write,100,2560,baseline,6,87583473.91220814,8.156846641768528,15.66237226546006,19.647825286743362,0.22442023754119872,0.9577844925,,,,86431397.26738176,88145762.86261742
long_write,write,100,2560,reuse_encoded_metadata,3,89974493.65080209,8.379527707658903,16.089953401114254,19.55898999912029,0.21738371849060054,0.932331782,,,,88278256.23318338,90295488.83679302
long_write,write,100,2560,single_reap,3,87808522.43525131,8.177805918757926,15.702617229358468,19.605846126029093,0.2233522891998291,0.955329593,,,,86786449.73744217,88225275.64232887
long_write,write,1024,2560,baseline,6,37611991.84425148,35.869590610743984,53.93177787331693,17.878883093833664,0.47518120408058173,2.2303172225,,,,37468823.256195255,37943707.149529845
long_write,write,1024,2560,reuse_encoded_metadata,3,38152451.46647564,36.38501307151379,54.70674210323566,17.95903209378058,0.4688946843147278,2.198707469,,,,37999142.358824976,38417078.91105541
long_write,write,1024,2560,single_reap,3,37877831.916113034,36.123115459549936,54.31296554784459,17.93004990463929,0.4733487367630005,2.214648404,,,,37785055.713467844,38198597.34179426
long_write,write,4096,2560,baseline,6,19562319.02237792,74.62432488394897,78.16087978634181,18.655087966387256,0.958630466553948,4.271428496,,,,18802757.438236173,19991803.26649051
long_write,write,4096,2560,reuse_encoded_metadata,3,19737053.52728399,75.2908841220245,78.85902823269248,18.916581685001972,0.9592903173612335,4.233612676,,,,19428310.01110016,20661281.536338244
long_write,write,4096,2560,single_reap,3,20088651.53089606,76.63212406500267,80.26383148030358,18.812284441187437,0.9382024254945964,4.159514633,,,,19953176.958769135,20220763.168285895
main,read,100,160,baseline,2,2845560.7519579465,0.26501349657382317,10.854952819663797,19.99895779411957,7.02812545353969,5.000279116,55.423,90.207,107.039,2845313.121600573,2845808.3823153195
main,read,100,160,kernel_split,1,2844767.2662007217,0.26493959745398926,10.8519259117154,19.998575401293305,7.029951321115294,5.00028532,55.423,90.175,107.071,2844767.2662007217,2844767.2662007217
main,read,100,160,no_defer_taskrun,1,2837052.4276221907,0.2642210971212192,10.822496138085139,19.998395469754623,7.049004549597207,5.000292156,55.583,90.367,107.391,2837052.4276221907,2837052.4276221907
main,read,100,160,no_huge_pages,1,2846330.7863850645,0.2650852116183438,10.857890267887361,19.998744259006415,7.026149017769466,5.000298654,55.423,90.175,107.071,2846330.7863850645,2846330.7863850645
main,read,100,160,no_registered_buffers,1,2837782.629280259,0.2642891024500372,10.825281636353527,19.99865681794298,7.047282836816575,5.000260363,55.583,90.367,107.327,2837782.629280259,2837782.629280259
main,read,100,160,no_registered_files,1,2844248.53578056,0.26489128691894565,10.849947112200013,19.99898920230564,7.031378921609333,5.000288414,55.455,90.239,107.135,2844248.53578056,2844248.53578056
main,read,100,160,reuse_encoded_metadata,1,2845209.1566134244,0.26498075170567487,10.853611589864443,19.99880717963386,7.028940959629801,5.00024997,55.423,90.239,107.135,2845209.1566134244,2845209.1566134244
