suite,phase,value_bytes,clients,variant,pairs,median_throughput_ratio,min_throughput_ratio,max_throughput_ratio,median_p99_us_ratio,min_p99_us_ratio,max_p99_us_ratio,median_cpu_us_per_op_ratio,min_cpu_us_per_op_ratio,max_cpu_us_per_op_ratio
buffer_reads,read,4096,2560,no_registered_buffers,3,1.2210731913456623,1.2206539413018807,1.2249361679939297,0.9304345677944904,0.9302324155595075,0.9324376358644847,0.8189598229643714,0.8163767893910714,0.8192250156840246
buffer_reads,write,4096,2560,no_registered_buffers,3,0.9737484550851551,0.9571415646610718,0.9800970810239573,,,,1.027511437697877,1.011250053156153,1.0477848405959704
final,read,100,160,cleaned,1,0.9999112944599373,0.9999112944599373,0.9999112944599373,1.000354551005545,1.000354551005545,1.000354551005545,1.0000749570232819,1.0000749570232819,1.0000749570232819
final,read,100,640,cleaned,3,1.0000365355069838,0.9999216391035936,1.0000678251298767,1.0,0.9997152188752134,1.0002847000475836,0.9999510767392885,0.9999134113634444,1.0000814714435942
final,read,100,2560,cleaned,1,1.0014757623882198,1.0014757623882198,1.0014757623882198,0.99771427601726,0.99771427601726,0.99771427601726,0.9985503966082586,0.9985503966082586,0.9985503966082586
final,read,1024,160,cleaned,1,0.9997647196418622,0.9997647196418622,0.9997647196418622,1.0000002865331206,1.0000002865331206,1.0000002865331206,1.000216598724226,1.000216598724226,1.000216598724226
final,read,1024,640,cleaned,3,0.999280913286444,0.9984072656861261,0.9997861517058747,1.0005959531059399,1.0000001777919476,1.0005963084778295,1.0007050389094927,1.0002283189585324,1.0016040164447362
final,read,1024,2560,cleaned,1,0.9999737685990021,0.9999737685990021,0.9999737685990021,1.0038590659708624,1.0038590659708624,1.0038590659708624,1.000042359880799,1.000042359880799,1.000042359880799
final,read,4096,160,cleaned,1,1.0001198760768706,1.0001198760768706,1.0001198760768706,1.0,1.0,1.0,0.9998812906430916,0.9998812906430916,0.9998812906430916
final,read,4096,640,cleaned,3,0.9997791621015742,0.9996739573529908,1.0001335061827838,1.000258767784508,0.9994830663510412,1.000258767784508,1.000226176755818,0.9998834255652664,1.0003268354385098
final,read,4096,2560,cleaned,1,0.99922769014978,0.99922769014978,0.99922769014978,0.9996192459602918,0.9996192459602918,0.9996192459602918,1.0007641753862286,1.0007641753862286,1.0007641753862286
final,read,65536,160,cleaned,1,1.0004027071357107,1.0004027071357107,1.0004027071357107,0.9966046334186069,0.9966046334186069,0.9966046334186069,0.9996006792834609,0.9996006792834609,0.9996006792834609
final,read,65536,640,cleaned,3,1.0002810122202697,0.9998104836654889,1.0003213949522076,0.9990829876191065,0.99813606370876,1.0018535730644447,0.9996873653217555,0.9994852965890415,1.0001001665374931
final,read,65536,2560,cleaned,1,1.0001749518787464,1.0001749518787464,1.0001749518787464,1.0019548008399244,1.0019548008399244,1.0019548008399244,0.999852923563674,0.999852923563674,0.999852923563674
final,read,4194304,160,cleaned,1,0.9998680103274661,0.9998680103274661,0.9998680103274661,1.0017574709772112,1.0017574709772112,1.0017574709772112,1.0001569865825704,1.0001569865825704,1.0001569865825704
final,read,4194304,640,cleaned,3,0.9997854211637979,0.9997578625475663,0.9998682535791978,1.0070457975268285,0.9992206296695453,1.0109625346221072,1.0001644434038863,1.0001327876906263,1.000168343432066
final,read,4194304,2560,cleaned,1,0.999817957664837,0.999817957664837,0.999817957664837,1.0022676263282309,1.0022676263282309,1.0022676263282309,1.0001316624421421,1.0001316624421421,1.0001316624421421
final,write,100,2560,cleaned,3,1.0008491289556667,0.9228068870618452,1.005511710616467,,,,0.9993386957690991,0.9935032440504965,0.9996348729590241
final,write,1024,2560,cleaned,3,1.0226937373198683,0.8934838396476582,1.0703171315098097,,,,1.0027642382475344,0.9973963687143815,1.0037696780695793
final,write,4096,2560,cleaned,3,1.007122176208728,1.0008127952384884,1.0609746756792107,,,,0.9866183204332841,0.946246168602947,1.0001571765343147
final,write,65536,2560,cleaned,3,0.9859288265477113,0.9251096438951601,0.9901984974031637,,,,1.0141728900453473,1.0003419457822502,1.0765617528663987
final,write,4194304,620,cleaned,3,1.012038246201432,1.0074941722897306,1.023648973208166,,,,0.9896132855639473,0.9874463976360317,0.9948501931500475
long_write,read,100,640,reuse_encoded_metadata,3,1.001335428595386,1.00094879532343,1.0016112232597967,0.9994308429749126,0.9985801371879834,0.9994313284240187,0.9985560304226214,0.998266373284076,0.9990756888357801
long_write,read,100,640,single_reap,3,1.0006322788487692,1.0002739252622301,1.0009091989687713,0.9994313284240187,0.9985801371879834,1.0,0.9994268767320966,0.9989826512521321,0.9997347726097345
long_write,read,1024,640,reuse_encoded_metadata,3,1.000791535942401,0.9957786678886897,1.0009946961393743,0.9994051104728443,0.9991079752214579,1.005653176515741,0.99910157139705,0.9990394193901474,1.0043447708301807
long_write,read,1024,640,single_reap,3,0.9993977152654704,0.9991309846417441,1.0005178097666536,1.0008926440924006,0.9994051104728443,1.0014868258586167,1.000660627188285,0.9993917562389428,1.0012447049897368
long_write,read,4096,640,reuse_encoded_metadata,3,1.0015777309742862,1.0011117097962838,1.0020666397360702,0.9989669338111264,0.99896639992248,0.9997418337381334,0.9984655423712575,0.9979182632879644,0.9988328102905848
long_write,read,4096,640,single_reap,3,1.0004627238470214,1.0001584908800176,1.0005261790262183,0.9997418337381334,0.99948319996124,1.0005165330944368,0.999592092223421,0.9993615417212064,0.9997835120312208
long_write,write,100,2560,reuse_encoded_metadata,3,1.025815393653063,1.0114130942745203,1.0344977874613905,,,,0.9683267341467999,0.9678902474467086,0.9705254728913636
long_write,write,100,2560,single_reap,3,1.0058722443544286,0.9942954115602501,1.0060313056628731,,,,0.9959575183385362,0.9953152460590908,0.9973543377111512
long_write,write,1024,2560,reuse_encoded_metadata,3,1.0140521015985036,1.012691353733278,1.0155811370883736,,,,0.9857128516309395,0.9848579732106888,0.9927859247847184
long_write,write,1024,2560,single_reap,3,1.0098054308964268,1.002939463928864,1.010814788813487,,,,0.9969145315749274,0.9950761839248788,1.0004209782063263
long_write,write,4096,2560,reuse_encoded_metadata,3,1.007808267009926,1.0020704796683229,1.0662074601652725,,,,1.007413457205583,0.9480904264823935,1.0089227994790912
long_write,write,4096,2560,single_reap,3,1.0325073222341639,1.0291419889098472,1.036657386872716,,,,0.9770160114351283,0.971540496836194,0.9862503842092974
main,read,100,160,kernel_split,1,0.9997211533843141,0.9997211533843141,0.9997211533843141,0.9996453232434463,0.9996453232434463,0.9996453232434463,1.000259798425795,1.000259798425795,1.000259798425795
