suite,run,order,round,variant,devices,key_bytes,value_bytes,clients,operations,seconds,ops_per_second,logical_gib_s,physical_read_bytes,physical_gib_s,physical_reads,physical_iops,read_amplification,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,min_disk_iops,max_disk_iops
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,160,14227375,5.000284465,2845313.121600573,0.264990434199625,58275328000,10.854008184816639,14227360,2845310.121771242,40.96,55.423,90.239,107.071,19.999013596119475,100.000757,7.028756675071825,11315.77734375,141934.72490769584,142598.28715564884
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,640,50188159,5.000419134,10036790.447974475,0.934748952088363,205570699264,38.28731707753935,50184143,10035987.315298516,40.96,61.887,112.319,146.687,19.998445394317624,100.00060900000003,1.9925139911986018,11315.77734375,492624.9048306277,517587.4123035063
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,2560,71201433,5.000371685,14239228.09850084,1.3261314573232867,291641069568,54.318344491961824,71184685,14235878.747481547,40.96,163.455,253.823,300.031,19.998602163910945,100.00044400000002,1.404472350998891,11315.77734375,662207.9734458779,910607.7081547988
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,160,14189652,5.000260363,2837782.629280259,0.2642891024500372,58120814592,10.825281636353527,14189625,2837777.229561436,40.96,55.583,90.367,107.327,19.99865681794298,99.99849099999999,7.047282836816575,3726.87109375,141600.62648721717,142263.9919440531
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,640,49252455,5.000352582,9849796.427815178,0.9173337768591175,201738055680,37.573991500149454,49247930,9848891.491628021,40.96,63.039,113.407,147.583,19.998193999352665,99.998021,2.030315463462684,3726.87109375,483885.27815217176,512681.44754997204
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,2560,66196219,5.000333013,13238362.090665022,1.2329185465970096,271139713024,50.50034366861352,66180635,13235245.49823818,40.96,180.351,276.223,295.423,19.998638438683525,99.999852,1.5106580634159785,3726.87109375,627046.6370636503,760003.7817721242
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,160,14224648,5.00028532,2844767.2662007217,0.26493959745398926,58264158208,10.8519259117154,14224629,2844763.4664175524,40.96,55.423,90.175,107.071,19.998575401293305,99.99858300000002,7.029951321115294,11314.5078125,141955.0994742036,142639.4604218305
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,640,50132780,5.000436987,10025679.781653851,0.9337141906520213,205343866880,38.24493324910679,50128747,10024873.252142433,40.96,61.951,112.383,146.815,19.998019425097098,99.998836,1.9946796487248464,11314.5078125,493709.6510601425,515793.920952373
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,2560,70795003,5.000416357,14157821.658369558,1.318549891781952,289976332288,54.007803567388756,70778357,14154492.73557362,40.96,163.839,253.823,300.287,19.998078931970024,99.99872099999999,1.4125110073093716,11314.5078125,665529.7804034442,835111.4590996448
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,160,14222063,5.000288414,2844248.53578056,0.26489128691894565,58253570048,10.849947112200013,14222043,2844244.536011278,40.96,55.455,90.239,107.135,19.99898920230564,100.000714,7.031378921609333,11315.81640625,141936.61269875703,142463.3823132107
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,640,49956320,5.000366592,9990531.510214522,0.9304407527870053,204621086720,38.11085323415574,49952184,9989704.370859057,40.96,62.175,112.575,147.071,19.99836495187911,99.999156,2.001731832929247,11315.81640625,492221.31112102274,517077.6886911895
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,2560,70197901,5.00034806,14038602.944771808,1.3074467838529318,287530602496,53.55302026661609,70181399,14035302.77450326,40.96,166.527,257.535,299.775,19.99846406691938,99.99928100000002,1.4245337763019443,11315.81640625,658437.9648163932,894053.9631155195
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,160,14186091,5.000292156,2837052.4276221907,0.2642210971212192,58106228736,10.822496138085139,14186067,2837047.627902644,40.96,55.583,90.367,107.391,19.998395469754623,99.99781999999999,7.049004549597207,11315.81640625,140746.5760086679,142374.8808648612
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,640,49211936,5.000400971,9841597.9609248,0.916570235129893,201572089856,37.54271683092041,49207189,9840648.63705507,40.96,63.039,113.279,147.455,19.998352248140137,99.99977999999999,2.032022881603357,11315.81640625,484351.1578463774,501389.39147886186
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,2560,69164028,5.000388979,13831729.54953431,1.2881801975457285,283295858688,52.763860891473044,69147790,13828482.202164296,40.96,166.783,257.535,306.175,19.99872738300426,100.001416,1.445858763460104,11315.81640625,653848.9332991549,778411.8428279577
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,160,14226459,5.000292654,2845125.272541698,0.26497293939270994,58271576064,10.853291597525399,14226440,2845121.472764102,40.96,55.423,90.239,107.071,19.99878545508828,99.99977999999999,7.029140561259831,11315.67578125,141965.4906462601,142668.04952492687
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,640,50108343,5.000438048,10020790.682536619,0.9332588578142802,205243772928,38.22628281607292,50104234,10019968.954527881,40.96,61.983,112.383,146.815,19.998119372760993,99.99935699999997,1.9956628180660447,11315.67578125,492407.0604143999,515057.6760030284
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,2560,70695226,5.000330348,14138111.100654824,1.3167142030461527,289567645696,53.932613756770415,70678562,14134778.520837039,40.96,163.839,254.079,301.055,19.998224325318112,99.997728,1.4144905343396172,11315.67578125,669262.3821021194,807379.0567886695
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,160,14226757,5.00024997,2845209.1566134244,0.26498075170567487,58272796672,10.853611589864443,14226721,2845201.956973363,40.96,55.423,90.239,107.135,19.99880717963386,99.99903499999999,7.028940959629801,11315.78515625,141789.31138516663,142725.46458312366
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,640,50094032,5.000376755,10018051.529799178,0.9330037543363104,205185155072,38.21583377761527,50089983,10017241.79081382,40.96,61.983,112.447,146.943,19.998292108691317,99.99899499999998,1.996225718065577,11315.78515625,491976.5290765576,517237.02567287855
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,2560,70977779,5.000299152,14194706.525030725,1.3219850626802747,290724982784,54.14850816738405,70961112,14191373.324457448,40.96,163.839,253.823,302.335,19.99864027335298,99.99918399999996,1.4088801510681246,11315.78515625,668912.1787167825,899041.0100167543
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,160,14232504,5.000298654,2846330.7863850645,0.2650852116183438,58296336384,10.857890267887361,14232485,2846326.986612028,40.96,55.423,90.175,107.071,19.998744259006415,99.999694,7.026149017769466,11315.265625,142034.916140831,142776.4718471154
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,640,50136209,5.000380238,10026479.310312001,0.9337886525608601,205357912064,38.247983208892826,50132180,10025673.571586497,40.96,61.951,112.319,146.815,19.99844596618055,99.99983400000004,1.9945631310097665,11315.265625,492193.96982985997,515497.79762968497
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,2560,70758103,5.000354303,14150617.878726743,1.317878987521561,289825189888,53.980323328883145,70741436,14147284.71491673,40.96,163.711,254.079,300.543,19.998569289381013,99.999932,1.4132647394461664,11315.265625,668392.4373108567,810872.941056873
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,160,14229821,5.000273767,2845808.3823153195,0.26503655894802136,58285346816,10.855897454510954,14229798,2845803.7825671714,40.96,55.423,90.175,107.007,19.998901992119663,99.999985,7.027494232007556,11315.80859375,141905.43019521833,142635.59021647464
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,640,50124926,5.00034558,10024292.361009177,0.9335849770353339,205311696896,38.23964065936728,50120826,10023472.417680379,40.96,61.983,112.319,146.687,19.998537181104187,99.99959699999998,1.9950073741754748,11315.80859375,491969.39704315393,517035.06460447476
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,2560,71039302,5.000364314,14206825.250933107,1.3231137069811214,290976980992,54.19473743794673,71022602,14203485.494277129,40.96,163.967,254.335,300.031,19.99849705350889,99.99977099999998,1.4076682650964107,11315.80859375,668534.2887198279,894701.4095501363
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,160,13891438,5.000227056,2778161.4403552,2.649461212496948,56899330048,10.597844849987792,13891436,2778161.0403733635,4.0,55.487,84.415,105.087,19.99875923234475,99.998337,7.1985590692626635,11316.01171875,138574.70715625837,139270.87554241656
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,640,49869458,5.000455265,9972983.52993065,9.510978250437402,204265299968,38.04391300174961,49868742,9972840.342968252,4.0,61.759,107.327,136.959,19.99803491892653,99.99927900000002,2.005220890910826,11316.01171875,488661.10594032076,513760.22059063456
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,2560,72174569,5.000354091,14433891.617776634,13.765231721665034,295627034624,55.060926886660134,72171568,14433291.460278707,4.0,163.455,250.495,267.775,19.99853833951216,99.99977299999998,1.3855264310618878,11316.01171875,682058.2978590506,908520.860188019
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,160,13886382,5.000235193,2777145.7669511265,2.6484925908576264,56878620672,10.593970363430506,13886377,2777144.766998163,4.0,55.487,84.479,105.151,19.998937077998363,99.99938900000001,7.2012558058679375,11315.82421875,138555.08256289337,139123.05584622527
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,640,49742761,5.000402862,9947750.68585264,9.48691433511032,203746349056,37.94765734044128,49742023,9947603.097744169,4.0,61.919,107.455,137.087,19.998246093316467,99.99928699999998,2.010328437538881,11315.82421875,488935.00533317635,513559.82125265815
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,2560,71855610,5.000340407,14370143.66050139,13.70443693208827,294320578560,54.81774772835308,71852607,14369543.101388296,4.0,164.351,251.647,268.543,19.99851927280998,99.999404,1.3916714923163271,11315.82421875,678215.4261442864,911114.9700172802
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,160,13851690,5.000228847,2770211.2090950864,2.641879281134688,56736522240,10.567517124538751,13851681,2770209.4091774677,4.0,55.647,84.479,105.279,19.998988658288503,99.99951999999999,7.2193010383570515,11316.06640625,137463.90835939275,139086.03411567016
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,640,48849947,5.000358218,9769289.492931284,9.316720478946003,200089382912,37.26688191578401,48849083,9769116.705310412,4.0,62.911,108.479,137.727,19.998508834832435,99.99970799999997,2.04707915036223,11316.06640625,480461.3780172179,497142.38292997435
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,2560,70537665,5.00038367,14106450.555623066,13.452959590552393,288922275840,53.81183836220957,70534709,14105859.400984725,4.0,165.759,253.439,270.079,19.99832244872522,99.99928499999999,1.4176721755674786,11316.06640625,673180.1441948154,824310.1473851505
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,160,13882153,5.00023574,2776299.703021602,2.647685721418001,56861298688,10.590742885672004,13882149,2776298.9030593187,4.0,55.519,84.479,105.151,19.998930490425238,99.999367,7.203447981015625,11314.79296875,138499.27003641633,139310.83177290356
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,640,49636952,5.000436818,9926523.183199232,9.46667021102832,203312955392,37.86668084411328,49636252,9926383.195429068,4.0,62.047,107.583,137.087,19.998176287326107,99.999617,2.014620418272258,11314.79296875,486833.4684755935,514448.45593087544
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,2560,71187528,5.000328203,14236571.102930862,13.577052214556563,291584114688,54.30820885822625,71184534,14235972.342233874,4.0,166.271,254.591,270.335,19.99864467696422,99.999787,1.4047374562577872,11314.79296875,670661.9773454099,897538.8850090648
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,160,13889923,5.00022128,2777861.6629542443,2.6491753224890178,56893124608,10.596701289956071,13889921,2777861.262971946,4.0,55.487,84.415,105.151,19.998784133809373,99.998346,7.199344877577795,11314.5078125,138595.46631904258,139263.63674849205
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,640,49851685,5.000434248,9969471.15541794,9.507628589075031,204192501760,38.030514356300124,49850977,9969329.567714775,4.0,61.791,107.327,136.959,19.99786199368499,99.99799399999998,2.005910010865229,11314.5078125,488809.14712109615,515735.60856869
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,2560,72110650,5.000290943,14421290.84527552,13.753214688563842,295365222400,55.01285875425537,72107634,14420687.68037284,4.0,163.327,250.495,268.799,19.998834895795774,99.99999299999996,1.3867576148599403,11314.5078125,680362.6106521938,896562.8302640949
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,160,13890144,5.00023363,2777898.999891331,2.6492109297669706,56894029824,10.596843719067882,13890138,2777897.7999473996,4.0,55.487,84.479,105.151,19.99891433072898,99.99924399999999,7.199294982111056,11316.0703125,138553.1259666361,139234.49412902733
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,640,49830420,5.000441897,9965203.28131312,9.503558427155609,204105400320,38.014233708622434,49829690,9965057.294215372,4.0,61.823,107.327,136.959,19.99807498213192,99.99921199999999,2.0067904705599506,11316.0703125,488512.425564936,514435.93446077395
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,2560,72096357,5.00035068,14418260.160905354,13.750324402718881,295306678272,55.001297610875525,72093352,14417659.203054134,4.0,163.711,250.879,267.519,19.99867237311444,100.00037500000002,1.3870378360448923,11316.0703125,680296.0867536594,911368.880232216
