suite,phase,value_bytes,clients,round,variant,run,before_run,after_run,ops_per_second,control_ops_per_second,throughput_ratio,control_after_before_ratio,p99_us_ratio,cpu_us_per_op_ratio
buffer_reads,read,4096,2560,1,no_registered_buffers,buffer-r1-no_registered_buffers-v2-d20-k16-v4096,buffer-r1-control_before-v2-d20-k16-v4096,buffer-r1-control_after-v2-d20-k16-v4096,12207258.513919454,10000589.111193858,1.2206539413018807,1.001570778714226,0.9304345677944904,0.8192250156840246
buffer_reads,read,4096,2560,2,no_registered_buffers,buffer-r2-no_registered_buffers-v2-d20-k16-v4096,buffer-r2-control_before-v2-d20-k16-v4096,buffer-r2-control_after-v2-d20-k16-v4096,12209385.206005678,9998897.111606011,1.2210731913456623,0.9992199105015434,0.9324376358644847,0.8189598229643714
buffer_reads,read,4096,2560,3,no_registered_buffers,buffer-r3-no_registered_buffers-v2-d20-k16-v4096,buffer-r3-control_before-v2-d20-k16-v4096,buffer-r3-control_after-v2-d20-k16-v4096,12220172.962355474,9976171.233778145,1.2249361679939297,0.9983481409538135,0.9302324155595075,0.8163767893910714
buffer_reads,write,4096,2560,1,no_registered_buffers,buffer-r1-no_registered_buffers-v2-d20-k16-v4096,buffer-r1-control_before-v2-d20-k16-v4096,buffer-r1-control_after-v2-d20-k16-v4096,19044164.70754143,19430896.261465263,0.9800970810239573,1.0122436182181014,,1.011250053156153
buffer_reads,write,4096,2560,2,no_registered_buffers,buffer-r2-no_registered_buffers-v2-d20-k16-v4096,buffer-r2-control_before-v2-d20-k16-v4096,buffer-r2-control_after-v2-d20-k16-v4096,18961674.16939143,19472867.012387935,0.9737484550851551,0.9840394181304328,,1.027511437697877
buffer_reads,write,4096,2560,3,no_registered_buffers,buffer-r3-no_registered_buffers-v2-d20-k16-v4096,buffer-r3-control_before-v2-d20-k16-v4096,buffer-r3-control_after-v2-d20-k16-v4096,18632097.69240897,19466397.00994145,0.9571415646610718,0.9801890073935925,,1.0477848405959704
final,read,100,160,1,cleaned,final-r1-cleaned-v2-d20-k16-v100,final-r1-control_before-v2-d20-k16-v100,final-r1-control_after-v2-d20-k16-v100,2844311.67573172,2844564.004317966,0.9999112944599373,1.0000712660898239,1.000354551005545,1.0000749570232819
final,read,100,640,1,cleaned,final-r1-cleaned-v2-d20-k16-v100,final-r1-control_before-v2-d20-k16-v100,final-r1-control_after-v2-d20-k16-v100,10020539.57183414,10020173.479715994,1.0000365355069838,1.000662654369192,1.0002847000475836,0.9999510767392885
final,read,100,640,2,cleaned,final-r2-cleaned-v2-d20-k16-v100,final-r2-control_before-v2-d20-k16-v100,final-r2-control_after-v2-d20-k16-v100,10024435.58897769,10025221.174295582,0.9999216391035936,1.0002891833355758,1.0,1.0000814714435942
final,read,100,640,3,cleaned,final-r3-cleaned-v2-d20-k16-v100,final-r3-control_before-v2-d20-k16-v100,final-r3-control_after-v2-d20-k16-v100,10016203.7170932,10015524.412849115,1.0000678251298767,0.9999339188464818,0.9997152188752134,0.9999134113634444
final,read,100,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v100,final-r1-control_before-v2-d20-k16-v100,final-r1-control_after-v2-d20-k16-v100,14295582.835935386,14274517.0405769,1.0014757623882198,0.9963030494623861,0.99771427601726,0.9985503966082586
final,read,1024,160,1,cleaned,final-r1-cleaned-v2-d20-k16-v1024,final-r1-control_before-v2-d20-k16-v1024,final-r1-control_after-v2-d20-k16-v1024,2775908.8717644797,2776562.1422997117,0.9997647196418622,0.9992375668881965,1.0000002865331206,1.000216598724226
final,read,1024,640,1,cleaned,final-r1-cleaned-v2-d20-k16-v1024,final-r1-control_before-v2-d20-k16-v1024,final-r1-control_after-v2-d20-k16-v1024,9951954.193089753,9967830.298440952,0.9984072656861261,0.9995488684150718,1.0005959531059399,1.0016040164447362
final,read,1024,640,2,cleaned,final-r2-cleaned-v2-d20-k16-v1024,final-r2-control_before-v2-d20-k16-v1024,final-r2-control_after-v2-d20-k16-v1024,9959874.733950024,9967041.901354745,0.999280913286444,0.9999077649380038,1.0005963084778295,1.0007050389094927
final,read,1024,640,3,cleaned,final-r3-cleaned-v2-d20-k16-v1024,final-r3-control_before-v2-d20-k16-v1024,final-r3-control_after-v2-d20-k16-v1024,9963627.293233728,9965758.453678712,0.9997861517058747,0.9990630301688277,1.0000001777919476,1.0002283189585324
final,read,1024,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v1024,final-r1-control_before-v2-d20-k16-v1024,final-r1-control_after-v2-d20-k16-v1024,14497949.097983342,14498329.409475882,0.9999737685990021,1.001254546479989,1.0038590659708624,1.000042359880799
final,read,4096,160,1,cleaned,final-r1-cleaned-v2-d20-k16-v4096,final-r1-control_before-v2-d20-k16-v4096,final-r1-control_after-v2-d20-k16-v4096,2508047.320315823,2507746.7014794643,1.0001198760768706,0.9998463141833968,1.0,0.9998812906430916
final,read,4096,640,1,cleaned,final-r1-cleaned-v2-d20-k16-v4096,final-r1-control_before-v2-d20-k16-v4096,final-r1-control_after-v2-d20-k16-v4096,8697929.91278465,8699851.16963357,0.9997791621015742,0.9987215109996463,1.000258767784508,1.000226176755818
final,read,4096,640,2,cleaned,final-r2-cleaned-v2-d20-k16-v4096,final-r2-control_before-v2-d20-k16-v4096,final-r2-control_after-v2-d20-k16-v4096,8699037.63189316,8697876.41161512,1.0001335061827838,0.9988685457684185,1.000258767784508,0.9998834255652664
final,read,4096,640,3,cleaned,final-r3-cleaned-v2-d20-k16-v4096,final-r3-control_before-v2-d20-k16-v4096,final-r3-control_after-v2-d20-k16-v4096,8687487.730301376,8690321.145611051,0.9996739573529908,1.0008468242465662,0.9994830663510412,1.0003268354385098
final,read,4096,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v4096,final-r1-control_before-v2-d20-k16-v4096,final-r1-control_after-v2-d20-k16-v4096,9983093.418748353,9990809.41927453,0.99922769014978,1.003857840040493,0.9996192459602918,1.0007641753862286
final,read,65536,160,1,cleaned,final-r1-cleaned-v2-d20-k16-v65536,final-r1-control_before-v2-d20-k16-v65536,final-r1-control_after-v2-d20-k16-v65536,1113137.6938695444,1112689.6058254475,1.0004027071357107,0.9991764138491928,0.9966046334186069,0.9996006792834609
final,read,65536,640,1,cleaned,final-r1-cleaned-v2-d20-k16-v65536,final-r1-control_before-v2-d20-k16-v65536,final-r1-control_after-v2-d20-k16-v65536,3070023.0997472377,3069036.726835093,1.0003213949522076,0.9998317756121986,0.99813606370876,0.9996873653217555
final,read,65536,640,2,cleaned,final-r2-cleaned-v2-d20-k16-v65536,final-r2-control_before-v2-d20-k16-v65536,final-r2-control_after-v2-d20-k16-v65536,3063889.6067700447,3064470.373962536,0.9998104836654889,1.0003867009571739,1.0018535730644447,1.0001001665374931
final,read,65536,640,3,cleaned,final-r3-cleaned-v2-d20-k16-v65536,final-r3-control_before-v2-d20-k16-v65536,final-r3-control_after-v2-d20-k16-v65536,3057076.7741609775,3056217.9395721504,1.0002810122202697,0.9995809253831788,0.9990829876191065,0.9994852965890415
final,read,65536,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v65536,final-r1-control_before-v2-d20-k16-v65536,final-r1-control_after-v2-d20-k16-v65536,3589393.487077869,3588765.6257892568,1.0001749518787464,1.0000537047780043,1.0019548008399244,0.999852923563674
final,read,4194304,160,1,cleaned,final-r1-cleaned-v2-d20-k16-v4194304,final-r1-control_before-v2-d20-k16-v4194304,final-r1-control_after-v2-d20-k16-v4194304,59312.167379652434,59319.99700663205,0.9998680103274661,0.9996408947641051,1.0017574709772112,1.0001569865825704
final,read,4194304,640,1,cleaned,final-r1-cleaned-v2-d20-k16-v4194304,final-r1-control_before-v2-d20-k16-v4194304,final-r1-control_after-v2-d20-k16-v4194304,59609.977475793195,59624.4147796908,0.9997578625475663,0.9997942409029672,1.0070457975268285,1.0001644434038863
final,read,4194304,640,2,cleaned,final-r2-cleaned-v2-d20-k16-v4194304,final-r2-control_before-v2-d20-k16-v4194304,final-r2-control_after-v2-d20-k16-v4194304,59604.97174281235,59617.76445332571,0.9997854211637979,0.9998889075072284,0.9992206296695453,1.000168343432066
final,read,4194304,640,3,cleaned,final-r3-cleaned-v2-d20-k16-v4194304,final-r3-control_before-v2-d20-k16-v4194304,final-r3-control_after-v2-d20-k16-v4194304,59613.8355322027,59621.69047652515,0.9998682535791978,0.9998557433635873,1.0109625346221072,1.0001327876906263
final,read,4194304,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v4194304,final-r1-control_before-v2-d20-k16-v4194304,final-r1-control_after-v2-d20-k16-v4194304,59456.5434442798,59467.36902300274,0.999817957664837,0.9995391691219,1.0022676263282309,1.0001316624421421
final,write,100,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v100,final-r1-control_before-v2-d20-k16-v100,final-r1-control_after-v2-d20-k16-v100,64343112.47485033,63990415.82061968,1.005511710616467,1.0314629205406707,,0.9996348729590241
final,write,100,2560,2,cleaned,final-r2-cleaned-v2-d20-k16-v100,final-r2-control_before-v2-d20-k16-v100,final-r2-control_after-v2-d20-k16-v100,59470850.44922335,59420394.87138091,1.0008491289556667,0.9981263061552199,,0.9993386957690991
final,write,100,2560,3,cleaned,final-r3-cleaned-v2-d20-k16-v100,final-r3-control_before-v2-d20-k16-v100,final-r3-control_after-v2-d20-k16-v100,53280244.95449531,57737155.73811549,0.9228068870618452,0.9206200834430227,,0.9935032440504965
final,write,1024,2560,1,cleaned,final-r1-cleaned-v2-d20-k16-v1024,final-r1-control_before-v2-d20-k16-v1024,final-r1-control_after-v2-d20-k16-v1024,39384739.053642765,36797261.1987308,1.0703171315098097,0.99699001547958,,0.9973963687143815
