engine,disks,key_bytes,value_bytes,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_write_bytes,write_amplification,cpu_cores
foyer,20,16,100,1,2621440,0.957832584,2736845.711651004,0.25488861945001445,10.826410041678079,11134582784,42.4750625,35.9681697777782
foyer,20,16,1024,1,2621440,1.003353657,2612677.9742230014,2.491643881056787,10.312278946493889,11109859328,4.1387451171875,36.48148162378204
foyer,20,16,4096,1,2611220,1.231125832,2121001.714144846,8.090979439334282,16.432033049979427,21721690112,2.0309077749098123,35.749787597666135
foyer,20,16,4194304,1,40960,4.736404503,8647.910028388891,33.780898548394106,33.826454353709906,172030373888,1.0013485670089721,44.271539491018004
foyer,20,16,65536,1,163800,0.748144942,218941.53232142015,13.363130634852304,14.220078098709555,11423195136,1.0641277472527473,45.99976297106343
v1,20,16,100,1,2621440,0.608235777,4309907.603478577,0.40139142456264953,2.4950741820454647,1629503488,6.2160625,31.39708435796272
v1,20,16,1024,1,2621440,0.615963101,4255839.34450645,4.058684677607012,6.062140020023192,4009410560,1.493621826171875,28.257858257649108
v1,20,16,4096,1,2611220,0.804322027,3246485.7511604615,12.384360317842336,13.660961248592447,11798073344,1.1030817012737342,25.99596716005392
v1,20,16,4194304,1,40960,7.0570408,5804.132519681621,22.67239265500633,22.71699684088128,172136677376,1.0019673347473144,31.372244439907444
v1,20,16,65536,1,163800,1.266898834,129292.09152622837,7.891363008192649,8.877843605240908,12076728320,1.1250076312576314,43.786168643675616
v2,20,16,100,1,2621440,0.451156139,5810493.914170145,0.5411444151932508,4.233136009375154,2050637824,7.8225625,27.490449376329995
v2,20,16,1024,1,2621440,0.667332501,3928236.6677357443,3.7462584187848513,5.77679839184622,4139323392,1.5420181274414062,26.804464001371933
v2,20,16,4096,1,2611220,0.810468325,3221865.5800027717,12.290441818247878,13.476475431321221,11727683584,1.0965004863626964,25.853923409036376
v2,20,16,4194304,1,40960,7.415785917,5523.352542594711,21.57559586951059,21.619634878451777,172149358592,1.0020411491394043,29.919198650459098
v2,20,16,65536,1,163800,1.018100964,160887.77615576444,9.819810556382107,11.047361813434117,12076728320,1.1250076312576314,34.765499937194825
foyer,20,16,100,2,2621440,0.980058227,2674779.852646449,0.2491082858896301,10.582672693600804,11136458752,42.48221875,36.27280198322339
foyer,20,16,1024,2,2621440,1.031315184,2541841.7576599936,2.4240892006492554,10.033985644982982,11111297024,4.139280700683594,36.53822961652428
foyer,20,16,4096,2,2611220,1.287535244,2028076.52230761,7.736497964125099,15.713544893755714,21723668480,2.031092745919532,35.84013192263341
foyer,20,16,4194304,2,40960,4.670876599,8769.231884389588,34.25481204839683,34.300997974141865,172030328832,1.0013483047485352,44.40758744181073
foyer,20,16,65536,2,163800,0.746038895,219559.59816277408,13.40085438005213,14.260307908273399,11423264768,1.0641342338217339,46.311734189140374
v1,20,16,100,2,2621440,0.615822977,4256807.715701715,0.39644611214303555,2.4636400302668675,1629044736,6.2143125,31.231488135916045
