experiment,source,repeat,engine,value_bytes,records_per_disk,prefill_batch,input_mode,batch_large_records,operations,seconds,ops_per_second,gib_per_second,cpu_cores,physical_write_bytes,block_write_requests,write_amplification,mean_block_write_kib,verified_records
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,2,v2,4096,130561,640,owned_value,False,2611220,1.2895497759999999,2024908.2653479523,7.724412022964295,25.870304210730993,14344888320,890964,1.3412006648233392,15.723059517556266,2611220
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v1,1024,131072,10240,owned_value,False,2621440,0.52277572,5014463.946412813,4.782165476239026,31.790280925824167,3767787520,88126,1.4036102294921875,41.75249075187799,2621440
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v1,1024,131072,2560,owned_value,False,2621440,0.618031063,4241599.099040755,4.045104121247058,27.650496913615488,4006547456,236070,1.4925552368164063,16.574083958148005,2621440
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v1,4096,130561,10240,owned_value,False,2611220,0.793137849,3292265.02466408,12.558994387298888,27.423280867787714,11221630976,163870,1.0491862041497844,66.87388783792031,2611220
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v1,4096,130561,2560,owned_value,False,2611220,0.813753353,3208859.28195985,12.24082672866764,25.735125911057235,11794083840,287256,1.1027086955522707,40.09545492522349,2611220
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v2,1024,131072,10240,owned_value,False,2621440,0.476080744,5506292.856910843,5.251210076247066,32.08545229462169,3922456576,84292,1.4612289428710938,45.44350590803398,2621440
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v2,1024,131072,2560,owned_value,False,2621440,0.636752213,4116891.8560162117,3.9261740265047185,27.11170789444905,4137963520,229061,1.5415115356445312,17.641501608741777,2621440
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v2,4096,130561,10240,owned_value,False,2611220,0.677844471,3852240.6122864136,14.695131730218558,30.407085816592872,11205677056,160462,1.0476945642266833,68.19710585683838,2611220
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,3,v2,4096,130561,2560,owned_value,False,2611220,0.842872802,3098000.0704780123,11.81793239775853,25.716225447739617,11733553152,274313,1.0970492719878064,41.771800826063654,2611220
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,foyer,4194304,2048,620,owned_value,False,40960,4.731341848,8657.163510033486,33.817044961068305,44.3925615074263,172030328832,1351826,1.0013483047485352,124.27514191915232,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,foyer,65536,8190,2560,owned_value,False,163800,0.726350689,225510.90331518912,13.764093219921211,46.085887308905676,11423162368,94073,1.0641246947496947,118.58271767669788,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v1,4194304,2048,620,owned_value,False,40960,7.358101239,5566.653497902491,21.744740226181605,30.226249785906216,172136677376,1351916,1.0019673347473144,124.3436899925735,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v1,4194304,2048,620,preassembled,False,40960,5.899532607,6942.9228938237475,27.120792553999014,24.964856338830298,172136677376,1351916,1.0019673347473144,124.3436899925735,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v1,65536,8190,2560,owned_value,False,163800,0.915719325,178875.77069534926,10.917710613729813,37.914305237579214,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v1,65536,8190,2560,preassembled,False,163800,0.939071823,174427.55281136787,10.646212940146965,28.02911167743556,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v2,4194304,2048,620,owned_value,False,40960,7.717815711,5307.201095981184,20.7312542811765,28.908246886746635,172149358592,1351988,1.0020411491394043,124.34622792509992,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v2,4194304,2048,620,preassembled,False,40960,5.884650715,6960.481086089406,27.18937924253674,24.39715744454342,172149358592,1351988,1.0020411491394043,124.34622792509992,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v2,65536,8190,2560,owned_value,False,163800,1.059749829,154564.78077903044,9.43388554559512,33.95787195734476,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v2,65536,8190,2560,owned_value,True,163800,0.968501109,169127.32311595112,10.322712592526313,32.73126763141373,11466883072,94928,1.068197496947497,117.96443620428114,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,1,v2,65536,8190,2560,preassembled,False,163800,0.905403908,180913.73204013164,11.042097902840066,28.305865231586782,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,foyer,4194304,2048,620,owned_value,False,40960,4.712804492,8691.215616843374,33.95006100329443,44.303396916724886,172030341120,1353371,1.0013483762741089,124.13327904912991,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,foyer,65536,8190,2560,owned_value,False,163800,0.751298677,218022.47896145305,13.307036069424624,46.810586889932736,11422982144,93924,1.064107905982906,118.76896213960224,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v1,4194304,2048,620,owned_value,False,40960,7.483316547,5473.50893721321,21.3808942859891,29.492738896429312,172136677376,1351916,1.0019673347473144,124.3436899925735,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v1,4194304,2048,620,preassembled,False,40960,5.8534468,6997.58644769779,27.334322061319494,24.534754121281154,172136677376,1351916,1.0019673347473144,124.3436899925735,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v1,65536,8190,2560,owned_value,False,163800,1.197767546,136754.4149505617,8.34682708438487,40.04801362350488,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v1,65536,8190,2560,preassembled,False,163800,0.946050781,173140.81156072742,10.567676486860805,28.987987273803647,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v2,4194304,2048,620,owned_value,False,40960,7.907691231,5179.767242229592,20.233465789959343,28.11679104621327,172149358592,1351988,1.0020411491394043,124.34622792509992,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v2,4194304,2048,620,preassembled,False,40960,5.856354008,6994.112709724702,27.320752772362116,24.61480877062444,172149358592,1351988,1.0020411491394043,124.34622792509992,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v2,65536,8190,2560,owned_value,False,163800,0.986013677,166123.4563179391,10.139371113155462,35.566711515300824,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v2,65536,8190,2560,owned_value,True,163800,0.958720627,170852.69200117042,10.428020752024562,32.75940259914738,11464646656,94695,1.0679891636141636,118.23162785785944,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,2,v2,65536,8190,2560,preassembled,False,163800,0.880447618,186041.732240793,11.355086196337464,27.537120328718974,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,foyer,4194304,2048,620,owned_value,False,40960,4.634917903,8837.26548284452,34.5205682923614,44.265345426550915,172030275584,1351975,1.0013479948043824,124.26140720057694,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,foyer,65536,8190,2560,owned_value,False,163800,0.756039983,216655.20830000867,13.223584490967326,45.6079463723283,11422625792,94546,1.06407471001221,117.98392316967401,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v1,4194304,2048,620,owned_value,False,40960,7.678877666,5334.112845860253,20.836378304141615,28.921279731193465,172136677376,1351916,1.0019673347473144,124.3436899925735,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v1,4194304,2048,620,preassembled,False,40960,5.914061793,6925.866085552414,27.054164396689117,24.36769584832101,172136677376,1351916,1.0019673347473144,124.3436899925735,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v1,65536,8190,2560,owned_value,False,163800,0.884185189,185255.3085460019,11.307086703247187,41.07336500521272,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v1,65536,8190,2560,preassembled,False,163800,0.897225558,182562.78874302865,11.142748336366495,28.05910484328847,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v2,4194304,2048,620,owned_value,False,40960,7.892771397,5189.5586403995785,20.271713439060854,28.29444548272149,172149358592,1351988,1.0020411491394043,124.34622792509992,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v2,4194304,2048,620,preassembled,False,40960,5.919677879,6919.295413911828,27.02849771059308,25.621266747984137,172149358592,1351988,1.0020411491394043,124.34622792509992,40960
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v2,65536,8190,2560,owned_value,False,163800,1.015592886,161285.0998249312,9.844061268611524,35.8180955198223,12076728320,163820,1.1250076312576314,71.99169820534733,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v2,65536,8190,2560,owned_value,True,163800,0.969438904,168963.7163560748,10.312726828373705,32.88771769778284,11468234752,95197,1.0683234126984127,117.64496780360726,163800
input_copy,791925577d6e5d2ecd00ad4a6adf456291c02194,3,v2,65536,8190,2560,preassembled,False,163800,0.954224325,171657.7493452601,10.477157552811285,27.967328332360427,12076728320,163820,1.1250076312576314,71.99169820534733,163800
