experiment,source,engine,value_bytes,records_per_disk,prefill_batch,input_mode,batch_large_records,samples,ops_per_second_median,ops_per_second_min,ops_per_second_max,gib_per_second_median,gib_per_second_min,gib_per_second_max,cpu_cores_median,cpu_cores_min,cpu_cores_max,write_amplification_median,write_amplification_min,write_amplification_max,mean_block_write_kib_median,mean_block_write_kib_min,mean_block_write_kib_max,seconds_median,seconds_min,seconds_max
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v1,1024,131072,640,owned_value,False,2,1863049.2303219642,1862253.3724436474,1863845.088200281,1.7767422011584895,1.775983211940429,1.7775011903765496,25.061539409595063,24.899392383898988,25.223686435291135,1.9656341552734373,1.9606735229492187,1.9705947875976562,5.773759707796322,5.753107758649492,5.7944116569431525,1.4070698915,1.406468819,1.407670964
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v1,1024,131072,2560,owned_value,False,3,4242843.171316417,4241599.099040755,4285156.496213897,4.04629056102411,4.045104121247058,4.08664369222059,27.745364202939363,27.650496913615488,27.990338056205875,1.49263916015625,1.4925552368164063,1.494561767578125,16.548168134893615,16.39249223868857,16.574083958148005,0.617849846,0.611748953,0.618031063
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v1,1024,131072,10240,owned_value,False,3,4813991.237927734,4800429.641968896,5014463.946412813,4.590979803016409,4.578046457260986,4.782165476239026,31.46476130961238,31.313558213039926,31.790280925824167,1.4036056518554687,1.40296630859375,1.4036102294921875,41.75249075187799,41.68235267462673,42.02806600539379,0.544546068,0.52277572,0.546084454
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v1,4096,130561,640,owned_value,False,2,1864926.1710314876,1794134.310101528,1935718.0319614473,7.114128765226317,6.8440792469082945,7.3841782835443395,25.204919919094714,25.044321113262175,25.365518724927252,1.3742065011756956,1.3733377501704185,1.3750752521809728,14.689613677943115,14.6647212400359,14.71450611585033,1.402193856,1.348967131,1.455420581
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v1,4096,130561,2560,owned_value,False,3,3208859.28195985,3195716.5116281994,3226544.706517449,12.24082672866764,12.190691038620756,12.308291269368931,25.735125911057235,25.541679957777312,25.80976773719376,1.1040402570445997,1.1027086955522707,1.1048245647628312,39.69381060400051,39.46849807954744,40.09545492522349,0.813753353,0.809292986,0.817100012
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v1,4096,130561,10240,owned_value,False,3,3202210.9566843323,3182446.4268674515,3292265.02466408,12.215465380418138,12.140069682569319,12.558994387298888,27.015409164650457,27.00288767141556,27.423280867787714,1.048507977114146,1.0480836543837746,1.0491862041497844,67.44098973439992,66.87388783792031,67.75038989974007,0.815442841,0.793137849,0.820507135
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v2,1024,131072,640,owned_value,False,2,1965455.0257430081,1961040.3161182269,1969869.7353677896,1.8744039781026918,1.8701937829191464,1.8786141732862374,24.86584055325966,24.749736072829794,24.98194503368952,1.9408760070800781,1.9357696533203126,1.9459823608398437,5.908596924169036,5.879260965824683,5.9379328825133895,1.333764035,1.330768199,1.336759871
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v2,1024,131072,2560,owned_value,False,3,4116891.8560162117,3838290.9559718817,4137566.7062755213,3.9261740265047185,3.660479503604776,3.945891100192567,27.11170789444905,26.366130776762304,27.50362331450275,1.5415115356445312,1.5394607543945313,1.5421463012695313,17.641501608741777,17.614239030979043,17.85673387935345,0.636752213,0.63357045,0.682970632
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v2,1024,131072,10240,owned_value,False,3,5691513.160629801,5506292.856910843,5714530.21414412,5.427849922780801,5.251210076247066,5.449800695556755,32.594036870281585,32.08545229462169,32.66357012188361,1.4613388061523438,1.4612289428710938,1.46136474609375,45.49387803574609,45.44350590803398,45.535243076191605,0.460587532,0.458732372,0.476080744
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v2,4096,130561,640,owned_value,False,2,1959768.0771000478,1894627.8888521437,2024908.2653479523,7.475921924972717,7.227431826981139,7.724412022964295,25.620310611204285,25.370317011677578,25.870304210730993,1.3426610932820675,1.3412006648233392,1.3441215217407956,15.673212795317113,15.623366073077959,15.723059517556266,1.3338864584999999,1.2895497759999999,1.3782231409999999
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v2,4096,130561,2560,owned_value,False,3,3134207.9594212286,3098000.0704780123,3230514.9891617373,11.956054532704272,11.81793239775853,12.323436695715856,25.716225447739617,25.525735382545985,26.2276404194654,1.0968505143189773,1.0966521396129012,1.0970492719878064,41.86847933340643,41.771800826063654,41.93446824089328,0.833135527,0.80829837,0.842872802
admission_batch,a446e72d7d9b5989ba378623ecffece7fead939e,v2,4096,130561,10240,owned_value,False,3,3852240.6122864136,3744114.5034130155,3854326.9070595037,14.695131730218558,14.282663358356535,14.703090313184752,30.407085816592872,29.892394382603733,30.578283520217486,1.0467015418080436,1.0463771723562167,1.0476945642266833,69.15517208660944,68.19710585683838,69.52647650067432,0.677844471,0.677477563,0.69741991
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,foyer,65536,65520,2560,owned_value,False,3,197502.76407861421,193998.93699152983,204232.06197019565,12.054612065345106,11.840755431611928,12.465335813610574,46.48560562257712,46.291774963512395,46.52234640110713,1.0640912603021977,1.0640402262667887,1.0640992731227106,118.51804651175145,118.16896958558053,118.81532945166174,6.634843852,6.416230573,6.754676187
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,foyer,4194304,2048,620,owned_value,False,3,8565.212112426874,8514.45204987942,8654.66014159299,33.45785981416748,33.25957831984149,33.80726617809762,44.15953080300445,44.02504267072317,44.46874675144439,1.0013479471206665,1.001347279548645,1.001348328590393,124.13947219467643,124.0773482050339,124.30268304124375,4.7821349269999995,4.732710393,4.810644274
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,v1,4194304,2048,620,in_place,False,3,11348.782955047429,11321.649092213038,11349.980037225054,44.33118341815402,44.22519176645718,44.33585952041037,15.44700497363904,15.440552376713882,15.466769924144561,1.0019673109054565,1.0019673109054565,1.0019673347473144,124.34377900977502,124.3436899925735,124.34377900977502,3.609197582,3.6088169199999998,3.617847512
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,v1,4194304,2048,620,owned_value,False,3,5405.490008857033,5314.3987237067695,5567.4715137689855,21.115195347097785,20.75937001447957,21.7479356006601,29.33449655184901,28.845281127977206,30.1999629026433,1.0019673347473144,1.0019673347473144,1.0019673347473144,124.3436899925735,124.3436899925735,124.3436899925735,7.5774814,7.35702013,7.707362983
in_place,c948449939eb5c7ca43a9342ee9d343e67a6c7c5,v2,65536,65520,2560,in_place,False,3,276971.96124507114,269844.0782165671,285129.3107672983,16.90502693146186,16.469975477085395,17.402912034136857,18.5385352834399,18.51604441555935,18.542133585994748,1.1268477182539682,1.1268477182539682,1.1268477182539682,72.04436231459798,72.04419754724043,72.0444721599217,4.731164823,4.595809517,4.856137695
