group,value_bytes,allocator,n,median_write_ops,min_write_ops,max_write_ops,median_write_gib,min_write_gib,max_write_gib,median_write_cpu_us_per_record,min_write_cpu_us_per_record,max_write_cpu_us_per_record,median_read_ops,min_read_ops,max_read_ops,median_read_p99_us,min_read_p99_us,max_read_p99_us,median_peak_rss_mib,min_peak_rss_mib,max_peak_rss_mib
compare,100,baseline,3,50929104.90792569,50331193.16707359,59841603.195411585,4.743142510571115,4.687457640382796,5.5731835957068565,0.2775440216064453,0.2771869659423829,0.2805686950683593,10001926.224559482,9991721.333128793,10002933.591991372,112.639,112.639,112.639,11315.33203125,11314.75,11315.75390625
compare,100,jemalloc,3,46209787.04618447,41265767.08331274,56605466.00849799,4.303621784428551,3.8431740443513487,5.27179483403433,0.3154125213623045,0.31274528503417975,0.31986351013183606,9985642.573563596,9982810.092859082,9990417.242724692,112.703,112.703,112.703,11470.56640625,11467.37890625,11485.34765625
compare,100,system,3,43602909.27132174,41984465.56836272,46281578.87442531,4.060837372329248,3.9101080566982476,4.310307919459912,0.31091651916503904,0.3083698272705078,0.32408409118652337,9981329.66432526,9979051.275767619,9986361.730046378,112.703,112.703,112.703,11283.66796875,11283.66796875,11283.66796875
compare,1024,baseline,3,36648844.65420363,34415093.01589204,37433118.27396861,34.9510618726765,32.82079030598835,35.699003480881316,0.49397163391113275,0.4883869171142579,0.49459838867187506,9934944.302922292,9931969.584277144,9938008.696271796,107.647,107.647,107.647,11315.75390625,11315.75390625,11315.75390625
compare,1024,jemalloc,3,29069955.057475105,27136902.16419238,31640947.855345212,27.72326951739798,25.879766620819453,30.175159316392147,0.5366600036621093,0.5359607696533202,0.5505107879638671,9921373.319045866,9915746.78084366,9922690.930072637,107.775,107.711,107.775,11486.890625,11454.90625,11491.3828125
compare,1024,system,3,35649910.22245509,31548986.973923646,35778525.92374925,33.99840376134404,30.08745858566632,34.12106125235486,0.5084716796874998,0.5059909820556638,0.5118171691894532,9915937.873375116,9913122.346536297,9923685.359632393,107.775,107.775,107.775,11283.66796875,11283.66796875,11283.66796875
compare,4096,baseline,3,19542623.781014603,19462545.969217002,19737368.92516866,74.5491935005745,74.24372089087296,75.29208726947273,0.9598838856932776,0.958657255995282,0.963250511255275,8676116.35148652,8675889.331613604,8678928.391507173,124.031,123.967,124.031,11326.625,11315.85546875,11327.37109375
compare,4096,jemalloc,3,15979699.865936045,15814847.540089926,18103882.808706883,60.95771738409441,60.3288556674573,69.06083224756959,1.0594132244697878,1.0481280780631277,1.083671234135768,8662819.247778352,8661339.781831412,8666331.779076315,124.095,124.095,124.159,11466.171875,11465.7109375,11466.17578125
compare,4096,system,3,19180166.966070462,19006905.804106425,19991366.080535665,73.16653047969994,72.50559159891672,76.26100952352778,0.951696142033226,0.9388220831641915,0.9988020925084826,8663559.540807787,8654277.308889301,8666306.758920267,124.095,124.095,124.287,11283.66796875,11283.66796875,11283.90234375
compare,65536,baseline,3,577471.6383688994,561667.1413691266,591771.85028954,35.24607167778927,34.28144173395548,36.11888734677368,28.96868131868132,28.45716727716728,29.71579975579975,3068225.3924175296,3062840.19366957,3068670.413484942,548.863,546.815,552.447,10392.2578125,10390.26171875,10394.01171875
compare,65536,jemalloc,3,597961.7804660277,590274.8435708601,606810.6965566649,36.4966907022722,36.027517307791754,37.03678567850738,28.047948717948717,27.553412698412696,28.91607448107448,3066945.0665615313,3063692.607493676,3067034.801533897,548.351,547.327,550.399,10424.328125,10424.328125,10424.328125
compare,65536,system,3,458351.0606249139,449820.4746713258,469917.55362505186,27.975528602594842,27.45486295601354,28.681491310122794,37.18595238095238,36.86352869352869,37.54978021978022,3067380.547528868,3058063.475146039,3067419.462412396,548.351,548.351,555.007,10376.1484375,10371.8125,10377.84375
compare,4194304,baseline,3,10193.246962887539,9994.390704338037,10210.398940537898,39.81737094877945,39.040588688820456,39.884370861476164,1606.09638671875,1571.297973632813,1649.358154296875,59608.18109595133,59595.55194940566,59609.94963444925,18726.911,18628.607,18907.135,10340.46484375,10340.45703125,10340.61328125
compare,4194304,jemalloc,3,9913.344519789118,9770.994827807857,10004.297444153844,38.72400203042624,38.16794854612444,39.079286891225955,1605.3832031250001,1590.6750732421876,1670.7887695312495,59590.386926819985,59552.66004154297,59592.66722250334,18939.903,18644.991,19103.743,10344.828125,10344.26953125,10345.328125
compare,4194304,system,3,10145.664322097355,9987.73633750553,10309.68690071374,39.63150125819279,39.01459506838098,40.272214455913044,1599.1253417968753,1594.3077392578127,1638.783544921875,59592.530141434894,59582.351552546716,59624.28111933018,19103.743,18366.463,19120.127,10342.49609375,10335.7421875,10342.49609375
long,65536,jemalloc,3,608605.134521395,607397.3736430113,610879.2896335521,37.14630948006561,37.07259360614083,37.285112892672856,28.24153270721435,27.912568283081058,28.31153469085693,3061222.0151065663,3061163.835618682,3068185.529587873,542.719,539.135,543.231,12137.00390625,12128.07421875,12138.33203125
long,65536,system,3,571012.4481234291,570255.1814450969,579640.1053891068,34.851833991908514,34.80561410187359,35.3784244011906,29.931878089904785,29.407246780395507,29.977451515197757,3063106.71707745,3062843.8510739463,3064328.4585843566,541.183,540.159,541.183,12168.1328125,12168.03515625,12169.4609375
