case,group,variant,input_mode,fsync,value_bytes,devices,records_per_device,verified_records,instrumented,source_buffers_per_owner,source_payload_bytes_per_owner,write_seconds,write_ops,write_gib,write_cpu_us_per_record,read_ops,read_p99_us,peak_rss_mib,max_tasks,max_io_wq
pooled-r2-v4096-disabled,pooled,disabled,pooled,False,4096,20,130561,2611220,False,64,262144,0.124195699,21025043.709444396,80.20417674806365,0.8980135721999679,8671523.593311073,124.031,11283.66796875,21,0
pooled-r2-v4096-enabled,pooled,enabled,pooled,True,4096,20,130561,2611220,False,64,262144,0.13993496,18660240.44313158,71.18316819431908,1.009816101285989,8669346.00881797,124.095,11283.66796875,41,20
pooled-r2-v4194304-baseline,pooled,baseline,pooled,True,4194304,20,2048,40960,False,1,4194304,4.122946265,9934.643181676294,38.807199928423024,1641.3285644531252,59589.07498795866,18989.055,10338.390625,21,0
pooled-r2-v4194304-disabled,pooled,disabled,pooled,False,4194304,20,2048,40960,False,1,4194304,4.07105383,10061.276934773421,39.301863026458676,1637.1774414062497,59556.74129340912,18759.679,10338.66796875,21,0
pooled-r2-v4194304-enabled,pooled,enabled,pooled,True,4194304,20,2048,40960,False,1,4194304,4.138085571,9898.297001649895,38.6652226626949,1643.0382080078125,59544.31915706462,18907.135,10338.66796875,41,20
pooled-r2-v65536-baseline,pooled,baseline,pooled,True,65536,20,8190,163800,False,64,4194304,0.290286527,564270.0737537157,34.44031211875706,29.82167277167277,3058829.8884380353,553.983,10386.26171875,21,0
pooled-r2-v65536-disabled,pooled,disabled,pooled,False,65536,20,8190,163800,False,64,4194304,0.264952261,618224.5789553764,37.73343377413186,27.212442002442,3059296.038828825,553.471,10380.66796875,21,0
pooled-r2-v65536-enabled,pooled,enabled,pooled,True,65536,20,8190,163800,False,64,4194304,0.278097344,589002.3890339636,35.94985284631125,28.723040293040285,3061995.4031677498,552.447,10380.66796875,41,20
pooled-r3-v100-baseline,pooled,baseline,pooled,True,100,20,131072,2621440,False,64,6400,0.038872691,67436545.62016301,6.280517729014439,0.24703636169433593,9993404.293696383,112.639,11315.33984375,21,0
pooled-r3-v100-disabled,pooled,disabled,pooled,False,100,20,131072,2621440,False,64,6400,0.034736975,75465408.25733961,7.028263831263372,0.2569889068603516,9990248.32535695,112.639,11283.66796875,21,0
pooled-r3-v100-enabled,pooled,enabled,pooled,True,100,20,131072,2621440,False,64,6400,0.050036114,52390959.05809152,4.8792882876555925,0.2773166656494141,9986004.119856946,112.703,11283.66796875,41,20
pooled-r3-v1024-baseline,pooled,baseline,pooled,True,1024,20,131072,2621440,False,64,65536,0.079463077,32989409.6600362,31.461152706180762,0.45253524780273446,9921301.588624725,107.775,11315.89453125,21,0
