suite,value_bytes,records_per_disk,variant,samples,ops_per_second_median,ops_per_second_min,ops_per_second_max,gib_per_second_median,gib_per_second_min,gib_per_second_max,cpu_us_per_op_median,cpu_us_per_op_min,cpu_us_per_op_max
allocator,65536,8190,baseline,3,585798.2966287308,571947.544239514,604328.6578611677,35.754290565718435,34.90890772946253,36.88529405890916,28.664426129426122,27.49672161172161,29.480665445665444
allocator,65536,8190,candidate,3,467057.7363714334,455796.79229974345,499312.90063858917,28.506941917201747,27.81962843626364,30.475640908117015,36.68065934065933,35.38588522588524,36.89724053724054
allocator,65536,8190,notrim-baseline,3,566778.2257840162,553809.9946880898,600979.4159340087,34.59339756982521,33.80187955859923,36.68087255456596,29.41937118437119,28.043583638583634,29.953058608058612
allocator,65536,8190,notrim-candidate,3,579261.273049431,500266.9342510408,581913.1523182935,35.35530231014594,30.533870498720752,35.51716017567709,29.061752136752137,28.8798717948718,33.95178876678876
cause,100,131072,baseline,3,56408553.16549818,50713547.13756535,57685156.86782871,5.253455896442587,4.72306712880408,5.372348881124399,0.27739295959472665,0.27611389160156263,0.2775432586669922
cause,100,131072,candidate,3,46358111.637662575,45958472.15569891,46545177.68759721,4.317435588469968,4.280216261343929,4.334857471994796,0.31961860656738295,0.3184768676757813,0.3239131927490234
cause,100,131072,index,3,49235865.91220155,45452806.050682865,49584742.159870386,4.585447340477402,4.233122435461997,4.617938972997515,0.3081127166748048,0.30528221130371097,0.32119369506835943
cause,100,131072,sync,3,47102912.327515885,43007068.59457148,60781202.04806386,4.386800558074926,4.00534538501608,5.660690557962643,0.29239997863769523,0.2905040740966797,0.29317703247070304
cause,65536,8190,baseline,3,587137.5350068659,576259.2766529705,596074.7820574285,35.8360311893839,35.17207499102603,36.381517459559845,28.118547008547008,27.715244200244204,29.311489621489628
cause,65536,8190,budget,3,470533.04879355326,459312.45529782894,471373.7363072297,28.719058153903397,28.03420747667413,28.77036964765806,36.53578754578754,36.12962148962149,37.50497557997558
cause,65536,8190,candidate,3,467912.46961964737,464514.01739533537,471704.8181600388,28.559110694558555,28.351685632039512,28.790577280275805,36.860128205128206,36.03572649572649,37.44661782661783
cause,65536,8190,sync,3,476496.6098168006,463704.6390101991,477340.368572683,29.08304503276371,28.302285095837348,29.134543980266297,36.33699633699633,36.186251526251525,37.29275946275947
cause,4194304,2048,baseline,3,9926.571464138136,9877.994476193175,10039.559966900404,38.775669781789595,38.58591592262959,39.2170311207047,1663.552001953125,1620.9358154296876,1672.4176269531247
cause,4194304,2048,budget,3,9909.427163165012,9839.377847433163,10030.846223542148,38.70869985611333,38.43506971653579,39.18299306071152,1654.9000976562497,1641.6420654296878,1672.8061767578126
cause,4194304,2048,candidate,3,8871.480637335295,8658.356543896047,9007.171092910572,34.654221239590996,33.82170524959393,35.18426208168192,1856.1220947265622,1827.67529296875,1885.956982421875
cause,4194304,2048,sync,3,8900.705657331977,8689.88136324256,8988.215856088858,34.768381473953035,33.94484907516625,35.1102181878471,1841.490673828125,1841.2295898437499,1910.4815673828125
entry,65536,8190,candidate,3,484833.7118341522,470925.92060130904,502638.81233850133,29.591901357064952,28.74303714607599,30.678638448394857,35.727222222222224,35.10109279609281,36.574822954822956
entry,65536,8190,entryalloc,3,488527.9850124624,482288.5535242335,494670.29898416466,29.817381897733302,29.43655722193808,30.192278990732706,35.49672161172162,35.41520146520146,35.92924908424909
follow,100,524288,baseline,3,61471750.99982551,60754332.536038555,63413570.773626134,5.725002940727911,5.658188139650837,5.9058489998454355,0.2827530860900879,0.27994794845581067,0.28469591140747064
follow,100,524288,candidate,3,58974023.44028684,55878787.34330247,62429151.24911856,5.492383934584152,5.204117609495527,5.814167787238821,0.3083816528320313,0.3067980766296387,0.30916299819946286
follow,100,524288,index,3,60128667.28324332,56473953.318755224,61600417.47310514,5.599918522242766,5.2595467603537465,5.736985939844059,0.30282754898071285,0.3009025573730469,0.3029329299926758
follow,65536,8190,baseline,3,577459.8000989995,542655.3977216821,588683.8405078225,35.2453491271362,33.12105698984876,35.93041018724502,29.10702686202686,28.547936507936505,31.016965811965818
follow,65536,8190,budget,3,444699.65897237434,439923.4931685052,461144.4747199149,27.142313169700582,26.850799143585522,28.14602506835418,38.179981684981676,37.41275946275946,39.34532967032967
follow,65536,8190,candidate,3,446753.86311106523,439744.33575737523,450580.1380198483,27.267691840274978,26.83986424300386,27.501229127188008,38.04631257631257,37.101892551892554,39.15086691086692
follow,65536,8190,wide,3,466385.4588234656,450026.8198675917,468168.9367543895,28.465909352018166,27.467457267309065,28.57476420620053,37.080128205128204,34.88054334554334,37.118327228327225
