engine,disks,key_bytes,value_bytes,clients,samples,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops,min_ops_per_second,max_ops_per_second
v2,20,16,100,160,1,14209951,5.000365238,2841782.6146002817,0.26466163011270405,10.840540369416358,2841778.614892451,14209931,58203959296,55.455,90.559,107.775,19.998669945157314,100.00065399999998,7.037367968404675,11315.109375,40.96,141769.04411157337,142535.788102765,2841782.6146002817,2841782.6146002817
v2,20,16,100,640,3,50012234,5.00027939,10001896.041593712,0.9314991572493418,38.154205480933044,10001082.286403466,50008165,204850110464,62.079,112.639,147.711,19.99887570282347,99.99996599999996,1.9995107996975305,11315.109375,40.96,492052.7049209825,516995.1113471681,10000012.219317209,10004516.078615537
v2,20,16,100,2560,1,71242104,5.000400418,14247279.826541284,1.3268813329321596,54.34905939690126,14243936.69427135,71225387,291807657984,163.711,253.183,302.591,19.998481849578962,100.00041700000006,1.4036701807683847,11315.109375,40.96,670824.8779288059,899145.1932160046,14247279.826541284,14247279.826541284
v2,20,16,1024,160,1,13874167,5.000310121,2774661.3038523574,2.6461232222102713,10.584492888841085,2774660.103926782,13874161,56828588032,55.487,85.247,105.791,19.99836581735887,99.998031,7.20749800690737,11315.2265625,4.0,138470.61147109998,139047.7756729521,2774661.3038523574,2774661.3038523574
v2,20,16,1024,640,3,49694118,5.000322796,9938138.663483312,9.477747596247971,37.910990384991884,9938007.67251121,49693463,203547107328,61.951,107.711,138.239,19.998394819016763,99.99855499999998,2.0122874300737164,11315.2265625,4.0,488754.3150526066,513801.18882206635,9935696.159404507,9939555.039966876
v2,20,16,1024,2560,1,72230752,5.00035251,14445131.98930449,13.775951375298014,55.103805501192056,14444527.031955194,72227727,295857160192,163.327,249.983,267.519,19.99884404149739,100.00127,1.3844694569980387,11315.2265625,4.0,684338.7527492536,913292.6110443361,14445131.98930449,14445131.98930449
v2,20,16,4096,160,1,12530752,5.000256203,2506021.9899296225,9.559715232580652,19.119430465161305,2506021.9899296225,12530752,102651920384,61.535,97.151,115.775,19.998706454282065,99.99865600000003,7.980259764138659,11328.859375,2.0,124953.19732319724,125502.16919354921,2506021.9899296225,2506021.9899296225
v2,20,16,4096,640,3,43408382,5.000359478,8681052.270538379,33.11558635917045,66.2311727183409,8681006.873802204,43408155,355601465344,70.079,124.031,159.231,19.998302610034873,99.99911600000001,2.303672640919904,11320.30859375,2.0,425348.6193058058,452739.0500543529,8674220.042774593,8687390.903332675
v2,20,16,4096,2560,1,49820262,5.000396001,9963263.307553388,38.0068332960258,76.0136665920516,9963112.31951167,49819507,408127586304,263.167,325.887,423.167,19.998536911876872,100.00060400000001,2.007227581420588,11328.859375,2.0,434808.1631065203,739386.8404143618,9963263.307553388,9963263.307553388
v2,20,16,65536,160,1,5546624,5.000409401,1109233.975700223,67.7022690246718,71.93366083871379,1109233.975700223,5546624,386222522368,141.183,265.215,394.239,19.998939282851737,100.00288400000001,18.029504794267652,10399.765625,1.0625,54290.15471127421,56221.59656442899,1109233.975700223,1109233.975700223
v2,20,16,65536,640,3,15323158,5.000642833,3064227.883686405,187.02562766640656,198.714729395557,3064227.883686405,15323158,1066982137856,183.679,550.399,823.807,19.998139507197234,100.003553,6.526302084726925,10388.68359375,1.0625,151720.9309689786,154191.77608760048,3063608.7222428513,3065336.181822758
v2,20,16,65536,2560,1,17953221,5.002480629,3588863.6721395687,219.04685498898735,232.73728342579906,3588863.6721395687,17953221,1250118684672,455.167,3651.583,5935.103,19.99392449821319,100.01922000000002,5.571101698129824,10399.765625,1.0625,178696.3441333098,179739.42663317008,3588863.6721395687,3588863.6721395687
v2,20,16,4194304,160,1,296773,5.002466751,59325.3318356738,231.7395774831008,231.96588566423662,1957735.9505772355,9793509,1245971763200,2639.871,4677.631,5619.711,19.995349490329872,100.02607099999999,337.0457251838947,10340.78125,1.0009765625,97770.36497088755,97955.07384472768,59325.3318356738,59325.3318356738
v2,20,16,4194304,640,3,298571,5.008020592,59614.970528859194,232.87097862835623,233.098391693423,1967294.0274523534,9852843,1253520486400,10272.767,18857.983,23937.023,19.993290730013914,100.12561299999997,335.3197664877032,10338.390625,1.0009765625,98320.88166461755,98422.7815051493,59612.435027961896,59635.253067658
v2,20,16,4194304,2560,1,298175,5.01331532,59476.609981117246,232.33050773873924,232.55739300020284,1962728.129376869,9839775,1251857920000,42500.095,50528.255,55312.383,19.993851892802937,100.23548399999996,336.1632732455771,10340.78125,1.0009765625,97624.61939058722,98434.26325715335,59476.609981117246,59476.609981117246
