kind,run,value_bytes,seconds,ops_per_second,cpu_cores,cpu_us_per_op
historical,split-r1-v2-d20-k16-v100,100,0.044334236,59129021.64367962,16.446138825985408,0.2781398773193359
historical,split-r1-v2-d20-k16-v1024,1024,0.067069206,39085597.643723406,19.213020055731697,0.4915626525878909
historical,split-r1-v2-d20-k16-v4096,4096,0.130379035,20027913.23006801,19.122882754884632,0.9548115440292276
historical,split-r1-v2-d20-k16-v4194304,4194304,4.05203713,10108.495723483165,16.57267760525185,1639.4801025390623
historical,split-r1-v2-d20-k16-v65536,65536,0.271251047,603868.6368646532,16.651308999371345,27.5743894993895
historical,split-r2-v2-d20-k16-v100,100,0.049208087,53272544.40921469,14.806997069404467,0.27794799804687503
historical,split-r2-v2-d20-k16-v1024,1024,0.070377689,37248168.23695362,18.256467614331587,0.490130615234375
historical,split-r2-v2-d20-k16-v4096,4096,0.135831276,19223996.68836211,19.082939337181813,0.9926624336517029
historical,split-r2-v2-d20-k16-v4194304,4194304,4.10970067,9966.662608544677,15.964522788468683,1601.7922363281255
historical,split-r2-v2-d20-k16-v65536,65536,0.277444242,590388.8969517702,16.749221272359296,28.369810744810746
historical,split-r3-v2-d20-k16-v100,100,0.042298966,61974091.75439419,17.208245705107785,0.27766838073730477
historical,split-r3-v2-d20-k16-v1024,1024,0.071459265,36684396.34804528,18.481172455384204,0.5037883758544923
historical,split-r3-v2-d20-k16-v4096,4096,0.138312269,18879163.93013551,18.391304100433782,0.9741588223129419
historical,split-r3-v2-d20-k16-v4194304,4194304,4.045098931,10125.833928584329,16.1346246688373,1593.4119384765622
historical,split-r3-v2-d20-k16-v65536,65536,0.290562157,563734.8018448253,16.82223194674316,29.84068376068377
initial,current-r1-v2-d20-k16-v100,100,0.043399712,60402244.14392427,16.818037870850386,0.2784339904785156
initial,current-r1-v2-d20-k16-v1024,1024,0.072556645,36129564.70079343,17.97599654724939,0.49754257202148433
initial,current-r1-v2-d20-k16-v4096,4096,0.131079196,19920933.906247027,19.023934202342833,0.9549720054227526
initial,current-r1-v2-d20-k16-v4194304,4194304,4.099567196,9991.298603414818,16.30791612959331,1632.2118652343752
initial,current-r1-v2-d20-k16-v65536,65536,0.307288758,533049.1133684753,16.80238494113735,31.521269841269838
initial,current-r2-v2-d20-k16-v100,100,0.052505535,49926926.75162724,13.859719741928155,0.2776000976562499
initial,current-r2-v2-d20-k16-v1024,1024,0.071225101,36805002.214036874,18.13159942026618,0.49263954162597656
initial,current-r2-v2-d20-k16-v4096,4096,0.137267559,19022848.654284,18.971678515824703,0.9973100696226285
initial,current-r2-v2-d20-k16-v4194304,4194304,4.115661949,9952.22652092508,16.30757963887379,1638.5860595703127
initial,current-r2-v2-d20-k16-v65536,65536,0.288809357,567156.1396121942,16.83558334295935,29.684212454212457
initial,current-r3-v2-d20-k16-v100,100,0.056403295,46476717.361990996,12.937151987308543,0.27835769653320314
initial,current-r3-v2-d20-k16-v1024,1024,0.067074487,39082520.30313702,19.240847865150265,0.49231338500976535
initial,current-r3-v2-d20-k16-v4096,4096,0.141389335,18468295.363295965,17.93251945063607,0.9709894225687609
initial,current-r3-v2-d20-k16-v4194304,4194304,4.142206888,9888.448623525152,15.990639480584052,1617.1029541015625
initial,current-r3-v2-d20-k16-v65536,65536,0.311942513,525096.7507593299,16.76138321037377,31.92056166056166
