kind,value_bytes,pairs,old_first_pairs,current_first_pairs,old_first_change_pct,current_first_change_pct,balanced_change_pct,min_change_pct,max_change_pct,balanced_cpu_cost_change_pct
short,100,5,2,3,-13.232391160987444,3.0978675982439086,-5.0672617813717675,-23.57201093691854,7.268933368367336,-0.4358332322200176
short,1024,4,2,2,-1.105153481736565,-0.8975880716860565,-1.0013707767113107,-7.3537626361230295,5.5585864927509165,0.9319346191959288
short,4096,5,3,2,1.7240908303038704,-8.84831162134671,-3.5621103955214197,-9.892250315783969,1.9506022386132749,-0.7954758211952101
short,65536,6,2,4,0.15046148638884205,-1.9326084774666297,-0.8910734955388938,-4.659091520367831,3.9459407759934395,0.5967815833357926
short,4194304,6,4,2,0.3507823282808853,-0.28810870669441213,0.03133681079323658,-1.7953472760011802,1.3643061517293997,-0.06419840328819038
long,100,5,2,3,-0.6852459612776141,0.47227005616048423,-0.10648795255856491,-1.2189003646981167,2.024728854461122,-0.08876045195531923
long,1024,4,2,2,-0.0643051226081659,0.5293999263398186,0.23254740186582634,-0.5569348501895499,1.2294632093347246,-0.49532892809222295
long,4096,5,3,2,-0.6777208654311195,1.1302871914572021,0.2262831630130413,-2.79222336352698,5.052797746441384,-0.4202806560168775
long,65536,6,2,4,1.8569132993117021,2.1248482036209215,1.9908807514663118,0.39908381806481596,4.59317143250404,-2.1011595811062627
long,4194304,6,4,2,1.2425094447481189,2.561765313709541,1.9021373792288299,0.8269199906653979,3.145315711998542,-1.9966879354306246
unique,65536,6,2,4,-3.223660074931234,-2.7412346514815447,-2.982447363206389,-5.936935251814224,1.918990692046707,3.708093687849079
