kind,value_bytes,round,old_ops,current_ops,throughput_change_pct,cpu_cost_change_pct
short,100,1,58463713.29728995,56772491.72838457,-2.8927713850563475,-1.1392530912369248
short,100,2,62204132.08146125,59248109.25497442,-4.752132579577973,0.6435622397510166
short,100,3,61311780.78044631,63211138.5711501,3.0978675982439086,0.7503551773127892
short,100,4,56144192.466225706,60225276.40680356,7.268933368367336,0.6863047077395157
short,1024,1,39549257.58920704,36640899.06174788,-7.3537626361230295,1.1775506227024835
short,1024,2,37330255.59228999,39405290.137352414,5.5585864927509165,0.40948238866802544
short,1024,3,39661388.83519135,39065112.53453874,-1.5034176012604372,1.891858634365784
short,1024,4,39364278.55398684,39086016.656376936,-0.7068893622126926,0.24884683104742233
short,4096,1,19663428.716949563,19905072.922048118,1.2289016761876326,-1.5670323049192691
short,4096,2,18834093.706919108,19201471.960388795,1.9506022386132749,-2.1573061290360074
short,4096,3,19238789.86580929,19570484.07774714,1.7240908303038704,0.35035316804585825
short,4096,4,19281703.276146892,17776887.24581627,-7.804372926909453,-0.2205457395627275
short,65536,1,545111.3413210004,566621.1120127505,3.9459407759934395,-9.312688266045932
short,65536,2,563522.7202005453,537267.6809283355,-4.659091520367831,2.9714915962901323
short,65536,3,577697.5379331528,564359.4850432626,-2.308829796576617,2.4781703320653214
short,65536,4,583506.9432730865,574425.3161398647,-1.5563871583566424,0.7244058986286106
short,4194304,1,9996.964122618629,10133.353319129696,1.3643061517293997,0.4595949233251906
short,4194304,2,10192.724122265197,10009.729327385794,-1.7953472760011802,1.7412659357294524
short,4194304,3,9993.106632570743,10084.657568528908,0.9161408891582346,-1.3225412280011617
short,4194304,4,10131.219287554086,10109.480098890766,-0.21457623259646397,-0.6146330727063831
