kind,value_bytes,round,old_ops,current_ops,throughput_change_pct,cpu_cost_change_pct
order-unique,65536,5,593665.1226131793,558419.6086710313,-5.936935251814224,7.665750355260448
order-unique,65536,6,587561.7172822438,584562.8910105223,-0.5103848980482439,1.2744708409301753
