mode,run,variant,operations,seconds,gib_s,cpu_us_per_op,estimated_user_cycles_per_op
profile,profile-old-d20-k16-v65536,old,2620800,4.644292679,34.44247564829236,30.07755341880342,107847.9133501221
profile,profile-current-d20-k16-v65536,current,2620800,4.609547476,34.702091329539435,29.843947649572648,106780.42872786935
