kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
order-unique,order-unique-r5-old-d20-k16-v65536,5,old,65536,2620800,4.414610022,593665.1226131793,36.234443518870805,16.93753573415867,28.530454441391935,193543618560,1.1268472413003663
order-unique,order-unique-r5-current-d20-k16-v65536,5,current,65536,2620800,4.693244935,558419.6086710313,34.08322806830025,17.15326988362264,30.717527854090356,193543290880,1.1268453334859585
order-unique,order-unique-r6-old-d20-k16-v65536,6,old,65536,2620800,4.460467595,587561.7172822438,35.861921220840074,16.904250595727063,28.77017017704518,193543618560,1.1268472413003663
order-unique,order-unique-r6-current-d20-k16-v65536,6,current,65536,2620800,4.483349936,584562.8910105223,35.67888739077895,17.032314026357103,29.136837606837613,193543290880,1.1268453334859585
