allocated_segments,disk,payload_bytes,records,seconds,segments
3936,0,8443112776000,9898000,3450.105963871,14307
3978,0,8532649180580,10002965,3480.106426706,14307
4025,0,8633138259240,10120770,3510.106711428,14307
4056,0,8700956978300,10200275,3540.107373434,14307
4085,0,8761554950780,10271315,3570.109297713,14307
4119,0,8834534392440,10356870,3600.110362776,14307
4153,0,8909531207480,10444790,3630.110602504,14307
4188,0,8984297709280,10532440,3660.111695711,14307
4220,0,9052790307820,10612735,3690.112010061,14307
4252,0,9121308496720,10693060,3720.112892996,14307
4292,0,9206921046100,10793425,3750.113042218,14307
4324,0,9274257813380,10872365,3780.11423083,14307
4358,0,9347258580340,10957945,3810.116008345,14307
4389,0,9415409974080,11037840,3840.116736727,14307
4435,0,9512465679440,11151620,3870.117920742,14307
4466,0,9579081651580,11229715,3900.119393605,14307
4497,0,9647160539300,11309525,3930.120795788,14307
4532,0,9720630462860,11395655,3960.121053327,14307
4564,0,9790564651680,11477640,3990.123153346,14307
4603,0,9873737586740,11575145,4020.123382616,14307
4637,0,9947019847660,11661055,4050.123505246,14307
4668,0,10012846783700,11738225,4080.124998232,14307
4698,0,10078306924580,11814965,4110.12535761,14307
4731,0,10148381860380,11897115,4140.126525226,14307
4770,0,10232672241160,11995930,4170.127233743,14307
4801,0,10299100550660,12073805,4200.127600596,14307
4832,0,10365315607160,12151430,4230.128897584,14307
4866,0,10437817362100,12236425,4260.130472978,14307
4899,0,10509338153240,12320270,4290.130749928,14307
4932,0,10579421619160,12402430,4320.13261075,14307
4963,0,10647210482800,12481900,4350.132746452,14307
4997,0,10719315587160,12566430,4380.133269887,14307
5027,0,10784489969020,12642835,4410.135015104,14307
5059,0,10851519651980,12721415,4440.13520662,14307
5090,0,10917645142220,12798935,4470.136457989,14307
5128,0,10999905354440,12895370,4500.138274952,14307
5162,0,11074002241820,12982235,4530.140081426,14307
5199,0,11152939972300,13074775,4560.141940193,14307
5231,0,11221517872040,13155170,4590.14269689,14307
5262,0,11288696832100,13233925,4620.143574106,14307
5298,0,11363962345920,13322160,4650.145685714,14307
5329,0,11432071089060,13402005,4680.146775754,14307
5360,0,11497706097400,13478950,4710.147101045,14307
5390,0,11563072406960,13555580,4740.148665153,14307
5423,0,11632098138000,13636500,4770.149356216,14307
5455,0,11702744591840,13719320,4800.150273517,14307
5489,0,11773945503480,13802790,4830.151876655,14307
5523,0,11848575523360,13890280,4860.153248071,14307
5556,0,11917643905000,13971250,4890.153736403,14307
5586,0,11983752335000,14048750,4920.154229171,14307
5620,0,12055575945400,14132950,4950.155519478,14307
5652,0,12125377917360,14214780,4980.15691071,14307
5683,0,12191059841360,14291780,5010.157312402,14307
5714,0,12258336897800,14370650,5040.158639579,14307
5750,0,12334566315180,14460015,5070.159982325,14307
5784,0,12407682238760,14545730,5100.160768911,14307
5820,0,12484559945260,14635855,5130.16159654,14307
5852,0,12553474784740,14716645,5160.163410937,14307
5886,0,12625771816800,14801400,5190.165251685,14307
5921,0,12701288969160,14889930,5220.166892175,14307
5953,0,12769709061680,14970140,5250.167815647,14307
5982,0,12832793564140,15044095,5280.168587317,14307
6015,0,12902045343360,15125280,5310.169876378,14307
6051,0,12979925338960,15216580,5340.170275793,14307
6083,0,13048341166420,15296785,5370.171488534,14307
6115,0,13117247475780,15377565,5400.172439942,14307
6147,0,13185450050240,15457520,5430.172692424,14307
6179,0,13255098480040,15539170,5460.173090638,14307
6214,0,13329566427640,15626470,5490.173666663,14307
6247,0,13400775869400,15709950,5520.175090485,14307
6286,0,13484183382760,15807730,5550.176095404,14307
6318,0,13553695330640,15889220,5580.176765921,14307
6349,0,13620567206380,15967615,5610.177305744,14307
6381,0,13687528648380,16046115,5640.178526372,14307
6413,0,13757769921520,16128460,5670.179626857,14307
6444,0,13823984978020,16206085,5700.181650353,14307
6484,0,13908932178040,16305670,5730.182959736,14307
6519,0,13984035619580,16393715,5760.185237649,14307
6552,0,14054502940900,16476325,5790.186597332,14307
6584,0,14123746190000,16557500,5820.187324804,14307
6617,0,14195023872720,16641060,5850.187441671,14307
6652,0,14269005603480,16727790,5880.187918957,14307
6687,0,14344062129360,16815780,5910.188667276,14307
6717,0,14408204366700,16890975,5940.189380165,14307
6749,0,14477464676040,16972170,5970.190890087,14307
6781,0,14545616069780,17052065,6000.191408197,14307
6812,0,14613528620160,17131680,6030.193368114,14307
6844,0,14681445435600,17211300,6060.195166908,14307
6875,0,14748372757120,17289760,6090.195866702,14307
6907,0,14817099933960,17370330,6120.197755945,14307
6938,0,14883063351920,17447660,6150.19798598,14307
6970,0,14952899444360,17529530,6180.199110626,14307
7002,0,15020022958640,17608220,6210.199312705,14307
7033,0,15087884328300,17687775,6240.199604737,14307
7066,0,15158014709880,17769990,6270.199836057,14307
7099,0,15227547983060,17851505,6300.200653001,14307
7131,0,15297733810420,17933785,6330.202120077,14307
7165,0,15369621396720,18018060,6360.203248907,14307
7203,0,15450806813820,18113235,6390.204181976,14307
7234,0,15518493316020,18192585,6420.205314114,14307
7266,0,15587207697680,18273140,6450.205770866,14307
7300,0,15658788199660,18357055,6480.206579437,14307
7335,0,15734019593000,18445250,6510.20714581,14307
7369,0,15806952119000,18530750,6540.208932951,14307
7400,0,15874489344100,18609925,6570.209879519,14307
7430,0,15939761822340,18686445,6600.211754296,14307
7461,0,16006121890880,18764240,6630.212687185,14307
7492,0,16071232296840,18840570,6660.213488704,14307
7523,0,16137234100340,18917945,6690.21443146,14307
7554,0,16204971783260,18997355,6720.216192136,14307
7586,0,16273396140840,19077570,6750.216507772,14307
7618,0,16342494377900,19158575,6780.218092629,14307
7650,0,16411660855920,19239660,6810.219926523,14307
7681,0,16477411020880,19316740,6840.221571739,14307
7718,0,16555589570680,19408390,6870.223377145,14307
7753,0,16631029951960,19496830,6900.224328959,14307
7786,0,16702444116600,19580550,6930.224757942,14307
7824,0,16783194497580,19675215,6960.226611459,14307
7859,0,16860072204080,19765340,6990.228656762,14307
7892,0,16930330537460,19847705,7020.229328382,14307
7923,0,16996434702400,19925200,7050.230107394,14307
7954,0,17063353493800,20003650,7080.231684262,14307
7986,0,17131645634520,20083710,7110.231759301,14307
8019,0,17201626739000,20165750,7140.233778828,14307
8050,0,17268217120780,20243815,7170.234567627,14307
8080,0,17334082442360,20321030,7200.234760981,14307
8114,0,17405249233520,20404460,7230.236549694,14307
8145,0,17472091253840,20482820,7260.236918535,14307
8175,0,17537095033300,20559025,7290.237245036,14307
8206,0,17604154571680,20637640,7320.237679652,14307
