round,disk,seconds,start_delay_seconds,records,segments,read_calls,read_bytes,user_seconds,system_seconds,max_rss_kib
1,0,18.797821160871536,0.00010093394666910172,35982105,14307,42923,4863930368,10.926359,1.701625,6137684
1,1,19.059439844917506,0.00010057492181658745,35982105,14307,42923,4863930368,11.039283,1.8580959999999997,6138356
1,2,18.99525515222922,0.00010045478120446205,35982105,14307,42923,4863930368,11.045271,1.800628,6137224
1,3,19.399120905902237,0.00010056514292955399,35982105,14307,42923,4863930368,11.263921,1.987046,6138356
1,4,19.05502000497654,0.00010211393237113953,35982105,14307,42923,4863930368,11.059721,1.8490280000000001,6138528
1,5,19.29542680364102,0.00010056514292955399,35982105,14307,42923,4863930368,11.178739,1.9795330000000002,6137684
1,6,19.348086819052696,0.00010051485151052475,35982105,14307,42923,4863930368,11.186863,2.0154959999999997,6137684
1,7,19.47491945605725,0.00010054511949419975,35982105,14307,42923,4863930368,11.370893,1.9416820000000001,6138356
1,8,16.680250860285014,0.00013825390487909317,35982105,14307,42923,4863930368,9.352714,1.193751,6137224
1,9,16.776760605163872,0.00013690395280718803,35982105,14307,42923,4863930368,9.384711,1.239146,6138356
1,10,16.71692790510133,0.00013696402311325073,35982105,14307,42923,4863930368,9.339152,1.232615,6137684
1,11,16.744186068419367,0.00013699382543563843,35982105,14307,42923,4863930368,9.346207,1.256708,6138528
1,12,19.299065222032368,0.00010106386616826057,35982105,14307,42923,4863930368,11.20169,1.950729,6137684
1,13,19.15314133837819,0.00010104384273290634,35982105,14307,42923,4863930368,11.060259,1.9645929999999998,6137224
1,14,19.34527338622138,0.00010095397010445595,35982105,14307,42923,4863930368,11.15209,2.0445160000000002,6137224
1,15,19.12724122684449,0.00010094419121742249,35982105,14307,42923,4863930368,11.031688,1.944232,6137684
1,16,19.24509298382327,0.00010097399353981018,35982105,14307,42923,4863930368,11.158274,1.95716,6137684
1,17,19.17222690489143,0.00010092416778206825,35982105,14307,42923,4863930368,11.04345,1.9659650000000002,6137224
1,18,19.384156656917185,0.00010162405669689178,35982105,14307,42923,4863930368,11.255895,1.9890059999999998,6138528
1,19,19.482578713912517,0.00010095397010445595,35982105,14307,42923,4863930368,11.410151,1.932331,6137684
2,0,19.460900832898915,7.752189412713051e-05,35982105,14307,42923,4863930368,11.122851,2.168069,6138356
2,1,19.33872391236946,7.618172094225883e-05,35982105,14307,42923,4863930368,11.048229,2.1232529999999996,6137684
2,2,19.417754417750984,7.612211629748344e-05,35982105,14307,42923,4863930368,11.070542,2.19414,6138356
2,3,19.51485381089151,7.5541902333498e-05,35982105,14307,42923,4863930368,11.209956,2.156944,6138356
2,4,19.333331120200455,7.637171074748039e-05,35982105,14307,42923,4863930368,11.04626,2.141244,6138356
2,5,19.07394245173782,4.213210195302963e-05,35982105,14307,42923,4863930368,11.059923,1.8653300000000002,6138528
2,6,19.45533769391477,7.678195834159851e-05,35982105,14307,42923,4863930368,11.191152,2.117724,6137684
2,7,19.620530762244016,7.582176476716995e-05,35982105,14307,42923,4863930368,11.279875,2.1715009999999997,6138356
2,8,16.95137437665835,2.3933127522468567e-05,35982105,14307,42923,4863930368,9.508178000000001,1.3099219999999998,6137856
2,9,16.916578584816307,2.450309693813324e-05,35982105,14307,42923,4863930368,9.365742000000001,1.400084,6137224
2,10,16.910242531914264,2.4063047021627426e-05,35982105,14307,42923,4863930368,9.429214,1.332811,6138356
2,11,17.021453482098877,2.401275560259819e-05,35982105,14307,42923,4863930368,9.557056,1.323561,6138356
2,12,19.49561249697581,7.78520479798317e-05,35982105,14307,42923,4863930368,11.133408,2.208797,6137224
2,13,19.39932500710711,7.720198482275009e-05,35982105,14307,42923,4863930368,11.131712,2.1308540000000002,6138428
2,14,19.42956353118643,7.775193080306053e-05,35982105,14307,42923,4863930368,11.047714,2.2271009999999998,6138428
