group,value_bytes,variant,repetitions,median_write_ops,min_write_ops,max_write_ops,median_write_gib,min_write_gib,max_write_gib,median_write_seconds,min_write_seconds,max_write_seconds,median_write_cpu_us_per_record,min_write_cpu_us_per_record,max_write_cpu_us_per_record,median_read_ops,min_read_ops,max_read_ops,median_read_p99_us,min_read_p99_us,max_read_p99_us
compare,100,baseline,3,58719907.62653203,54595016.70522873,62760044.769776806,5.468717555192488,5.084557151908868,5.844984647797124,0.044643122,0.04176925,0.048016104,0.27727317810058605,0.27688446044921866,0.27945518493652344,9988356.78659468,9987901.951415237,10017774.64730716,112.703,112.511,112.703
compare,100,disabled,3,68914469.8619597,66087178.63507277,69250088.25196545,6.418160150010111,6.154848135548901,6.449417048316957,0.038039036,0.037854681,0.039666393,0.28548851013183596,0.2846538543701172,0.29271507263183605,9982167.854353162,9979145.864983542,9988675.59275046,112.703,112.639,112.767
compare,100,enabled,3,48720428.95923088,41548201.1293413,51747973.644902945,4.537443533468142,3.8694777646419873,4.819405604610494,0.053805766,0.050657829,0.063093947,0.3125408172607422,0.3107700347900391,0.31614379882812493,9973788.405554587,9956285.436536793,9993829.192171277,112.767,112.575,112.895
compare,1024,baseline,3,37479845.81140519,35801931.28901061,38869179.464777164,35.743566333203496,34.14338234807072,37.06853815534321,0.069942657,0.067442638,0.073220631,0.4923801422119139,0.48587265014648434,0.4929595947265625,9918244.018888798,9907000.759954989,9943945.1647404,107.775,107.647,107.839
compare,1024,disabled,3,40157150.02127849,40134673.70544266,40417962.28614839,38.296842595365995,38.275407510225925,38.54557255377616,0.065279533,0.064858292,0.065316091,0.48861351013183607,0.4883773803710938,0.49074859619140637,9910867.007138632,9892844.204616567,9922133.680053255,107.839,107.775,107.967
compare,1024,enabled,3,36974580.45549607,33344785.1728151,37375698.00874005,35.26170774030311,31.8000652053977,35.64424324869161,0.070898438,0.070137553,0.078616191,0.5095676422119139,0.5089397430419923,0.5149223327636717,9904125.807263326,9903226.919869386,9920310.847786857,107.903,107.775,107.903
compare,4096,baseline,3,18864186.303796824,18518578.53722406,19361131.16305158,71.96115991133432,70.64277090921044,73.85685410709984,0.138422085,0.134869186,0.141005423,0.9600301774649398,0.9554208377693184,0.9872546166159878,8668924.431892617,8663502.033968875,8676600.456312513,124.031,123.967,124.095
compare,4096,disabled,3,20300690.163758114,19719361.173411414,20473178.800540116,77.44098725798841,75.22339314808431,78.0989791890721,0.128627154,0.127543457,0.132419097,0.935574941981143,0.9259185361631727,0.9429220823982659,8657567.679172497,8656918.43274933,8663055.501185935,124.159,124.095,124.287
compare,4096,enabled,3,19893924.11131001,18775164.176990774,19918686.733938914,75.88929790996555,71.62156744762716,75.98375981879774,0.131257161,0.131093984,0.139078411,0.9512396504315991,0.9505621893214667,0.9696199477638804,8665420.475158084,8658079.280247,8667850.459774096,124.095,124.095,124.159
compare,65536,baseline,3,607824.5318782593,603844.1136532977,623179.4329329671,37.09866527577266,36.85571982747178,38.03585406085004,0.269485668,0.262845645,0.271262063,27.315604395604396,27.035073260073254,27.93605006105006,3064636.998712114,3037365.9556480343,3067068.4034355967,551.935,550.399,569.855
compare,65536,disabled,3,468588.14640372375,461074.5612877661,472583.95363054716,28.600350732649154,28.141757891099004,28.8442354510832,0.349560699,0.346605082,0.355257075,36.81928571428571,35.56449938949938,37.43884615384615,3064625.6647247123,3041327.6365233064,3068799.242135524,552.447,548.351,567.807
compare,65536,enabled,3,467452.1020623276,460809.6162763493,474449.16307341424,28.531012088765113,28.125586930929522,28.95807880086757,0.350410233,0.345242468,0.355461332,36.49067765567765,35.19696581196581,37.34688034188033,3063078.5722052576,3041917.9264065498,3069696.457016592,554.495,548.863,568.319
compare,4194304,baseline,3,10029.065947066298,9957.80578420217,10084.22319329949,39.176038855727725,38.897678844539726,39.39149684882613,4.084129092,4.061790305,4.113355983,1628.0605712890622,1627.2515869140627,1636.5717529296876,59560.33998540844,59531.64414634412,59574.0716880526,18857.983,18612.223,19038.207
compare,4194304,disabled,3,9998.19957469978,9729.813338379381,10183.638274628544,39.055467088671016,38.00708335304446,39.77983701026775,4.096737587,4.022138149,4.209741603,1618.0317626953126,1613.4190673828125,1655.0391845703123,59559.10818526639,59552.97000675702,59566.79948000592,18563.071,18497.535,18644.991
compare,4194304,enabled,3,10048.459796418518,9889.582144143877,10154.652161740363,39.251796079759835,38.63118025056202,39.666610006798294,4.076246592,4.033619207,4.141732118,1647.2150390625002,1617.91328125,1657.0240478515623,59577.64832510489,59568.0809430495,59582.92861276295,19054.591,18956.287,19169.279
reuse,100,baseline,3,64904225.51405744,55633606.14974778,76097806.74511679,6.04467704091756,5.181283331452662,7.087160530045329,0.040389358,0.034448299,0.047119721,0.25218505859375,0.2492702484130859,0.25334472656250007,9995609.947690913,9995592.686007002,10006199.082242012,112.639,112.575,112.703
reuse,100,current,3,46137886.286260255,43907419.30099765,48709041.498767756,4.296925504343608,4.089197078812648,4.536382993568457,0.056817514,0.053818345,0.059703805,0.28075904846191396,0.2745899200439454,0.2932704925537109,9971430.667595165,9969294.696966758,9981759.909202307,112.703,112.703,112.767
reuse,65536,baseline,3,585046.1685004971,539095.856864692,599587.2248270753,35.70838430789167,32.90379985746411,36.59589995282442,0.279977904,0.273187942,0.303842068,28.9921916971917,28.038821733821738,29.82090354090354,3060518.8643700387,3056947.441430283,3061699.2894501532,554.495,551.423,557.567
reuse,65536,current,3,555470.077896811,551667.4656021779,596168.0371312962,33.90320299663153,33.67110996107043,36.38720929756447,0.294885371,0.27475475,0.296917999,29.402277167277163,28.127789987789985,31.213021978021978,3060729.032138651,3059701.175463073,3061236.5805704566,552.959,551.935,554.495
