repeat,cpu_system_s,cpu_user_s,device_capacity,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,huge_pages,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,scope,seconds,verified_reads,workload,usage_allocated_segments,usage_index_bytes,usage_indexed_versions,usage_segments,memory_arena_backing,memory_deferred_taskrun,memory_fixed_files,memory_observed_anon_huge_bytes,memory_observed_hugetlb_bytes,memory_pool_bytes,memory_registered_buffers,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,696.1654269999999,2197.688056,30725971992576,1085440,47,30692367990784,241284996,True,legacy,9.76716869297706,Preferred,0,7310366,2500.3951854021275,,,,30661897355264,write,64,full,whole-device,2923.684241067,False,4194304,14306,1073741824,7310366,14306,Transparent,True,True,1073741824,0,1073741824,True,0.14847956996954736,1.0009937622309197,98.97968605337101
0,2.398734999999988,0.04279799999994793,30725971992576,326459457536,2490688,0,0,True,legacy,5.067316267610863,Preferred,4865,77834,1297.232964508381,745.566,1597.459,1137.858,326459457536,read,1,full,whole-device,60.000017059,False,4194304,14306,1073741824,7310366,14306,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,4.069220509719348
0,5.909722999999985,0.18705299999965064,30725971992576,745021636608,5684064,0,0,True,legacy,11.563727410727514,Preferred,11102,177627,2960.3142171462437,5229.979,12567.547,10328.171,745021636608,read,16,full,whole-device,60.002752063,False,4194304,14306,1073741824,7310366,14306,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,10.160827279385977
0,12.814585999999963,0.45025799999984883,30725971992576,751757688832,5735456,0,0,True,legacy,11.665697849660633,Preferred,11203,179233,2986.418649513122,20946.662,40285.688,33352.061,751757688832,read,64,full,whole-device,60.016032926,False,4194304,14306,1073741824,7310366,14306,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,22.102167293122182
0,455.05879200000004,2228.188299,30725971992576,1085440,47,30696916070400,241316169,True,v2,9.14262670102274,Preferred,0,7310877,2340.5124354618215,,,,30664040644608,write,64,full,whole-device,3123.622369713,False,4194304,14307,,7310877,14307,Transparent,True,True,1073741824,0,1073741824,True,0.1484691918630282,1.0010721165606653,85.90177599626226
0,2.7267510000000357,0.05578299999979208,30725971992576,366112407552,2793216,0,0,True,v2,5.68276134615018,Preferred,5456,87288,1454.786904614446,648.237,1140.456,987.22,366112407552,read,1,full,whole-device,60.000540095,False,4194304,14307,,7310877,14307,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,4.637514921689353
0,5.993997999999976,0.16849099999990358,30725971992576,748024758272,5706976,0,0,True,v2,11.610390494384953,Preferred,11147,178343,2972.259966562548,5198.134,12329.119,10142.934,748024758272,read,16,full,whole-device,60.002490363,False,4194304,14307,,7310877,14307,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,10.270388716732203
0,12.919692999999995,0.40472300000010364,30725971992576,751996764160,5737280,0,0,True,v2,11.669489197720305,Preferred,11206,179290,2987.389234616398,20919.435,38688.375,32329.083,751996764160,read,64,full,whole-device,60.015614277,False,4194304,14307,,7310877,14307,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,22.201582305734167
