repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,3.4549960000000004,3.890372,125171097600,983862,0,0,True,v2,11.626213564246884,1864,29814,2976.3106724472023,20882.961,44629.986,34164.465,125048979456,read,64,10.01709945,True,4194304,4198400.0,0.0,73.32829265262012
0,0.013358999999999996,0.029491,0,0,570429440,8193,True,legacy,9.153513967191353,0,8192,149971.17283846313,,,,536870912,write,64,0.054623831,True,65536,0.0,1.0625076293945312,78.44561469882989
0,0.06209899999999999,0.342219,5221007360,74980,0,0,True,legacy,0.4576408633420233,4687,74980,7497.98790499571,127.398,253.095,167.426,4913889280,read,1,10.000016131,True,65536,69632.0,0.0,4.043173477956862
0,1.7267929999999998,5.777535,124921827328,1794029,0,0,True,legacy,10.949308859439153,112127,1794029,179393.47635305108,282.954,1875.183,1235.986,117573484544,read,64,10.000525306,True,65536,69632.0,0.0,75.03933813854398
0,0.020153,0.021052,0,0,570425344,8192,True,v2,9.183761427331385,0,8192,150466.7472253974,,,,536870912,write,64,0.054443923,True,65536,0.0,1.0625,75.68337792263794
0,0.08465500000000001,0.359279,3701985280,106330,0,0,True,v2,0.3244914577174218,3323,53165,5316.468043242239,185.026,468.83,227.215,3484221440,read,1,10.000060109,True,65536,69632.0,0.0,4.439313315731591
0,4.797266,4.85656,107269279744,3080956,0,0,True,v2,9.402154560513884,96283,1540517,154044.90031945947,389.463,1159.817,818.964,100959322112,read,64,10.000441409,True,65536,69632.0,0.0,96.53399890240783
0,0.010387999999999994,0.03934,0,0,580751360,8232,True,legacy,8.984441102436517,0,30656,551003.5513451427,,,,536725248,write,64,0.055636665,True,mixed,0.0,1.0820272796259438,89.37990801569431
0,0.11858800000000003,0.229743,3728138240,112269,0,0,True,legacy,0.1827222637465539,7017,112269,11226.869418007705,70.148,188.407,173.837,1961970712,read,1,10.00002724,True,mixed,33207.192012042506,0.0,3.4833005114894076
0,3.0604449999999996,4.91861,116881747968,3511316,0,0,True,legacy,5.726531569439718,219490,3511832,351168.09050127084,156.527,905.272,594.328,61490810140,read,64,10.000430264,True,mixed,33282.27203579214,0.0,79.78711704758706
0,0.020568999999999997,0.02465,0,0,568975360,4790,True,v2,8.86339168071348,0,30656,543579.7549734818,,,,536725248,write,64,0.056396508,True,mixed,0.0,1.0600868174548779,80.18049628179106
0,0.265867,0.21157099999999998,2096963584,150801,0,0,True,v2,0.12391765098503331,4752,76018,7601.72388849974,123.638,233.266,229.555,1330568968,read,1,10.000100124,True,mixed,27585.092793811993,0.0,4.774332197476307
0,5.328415000000001,4.554355,67253514240,4836194,0,0,True,v2,3.9761816255154514,152348,2437563,243750.56413484996,249.095,599.178,475.47,42694929772,read,64,10.000235317,True,mixed,27590.47222164104,0.0,98.82537447093557
1,0.09314999999999998,1.291903,0,0,1030795264,83885,True,legacy,0.36099865779332213,0,5368704,3876193.572805535,,,,536870400,write,64,1.38504538,True,100,0.0,1.9200076294018071,100.00055016247916
1,0.07839300000000005,0.30987900000000024,710307840,173415,0,0,True,legacy,0.0016150489659013275,10839,173415,17341.45622496205,55.899,64.309,63.699,17341500,read,1,10.000025243,True,100,4096.0,0.0,3.8827101988746477
1,4.246805,5.262588,31929528320,7795242,0,0,True,legacy,0.07259868132145388,487206,7795295,779522.4050209261,76.418,170.057,135.578,779529500,read,64,10.000091017,True,100,4096.0,0.0,95.09306449145491
1,0.314156,0.572765,0,0,1030791168,83886,True,v2,0.5637102265954042,0,5368704,6052792.469120026,,,,536870400,write,64,0.886979692,True,100,0.0,1.92,99.9933829375656
1,0.38258000000000003,0.15103099999999992,1250222080,180107,0,0,True,v2,0.0011652966927155899,7821,125123,12512.27796337605,69.058,136.307,132.707,12512300,read,1,10.000017612,True,100,9991.94456654652,0.0,5.336100602059619
1,5.285956,4.709347,37080563712,5338998,0,0,True,v2,0.03458754834596222,232117,3713870,371380.9724868166,150.357,352.823,302.464,371387000,read,64,10.0001623,True,100,9984.346170436767,0.0,99.9514077886516
1,0.013682,0.125076,0,0,738201600,8193,True,legacy,3.605723977199796,0,524288,3780875.6251162533,,,,536870912,write,64,0.138668407,True,1024,0.0,1.3750076293945312,100.06460952565786
1,0.22069700000000003,0.18983500000000003,708616192,173002,0,0,True,legacy,0.016498746158020418,10813,173002,17300.189251392418,56.039,64.449,63.838,177154048,read,1,10.000006213,True,1024,4096.0,0.0,4.105317449366269
1,3.9850160000000003,5.5790299999999995,30778036224,7514096,0,0,True,legacy,0.7166021267673651,469636,7514169,751411.7916772166,80.068,171.946,139.397,7694509056,read,64,10.000067983,True,1024,4096.0,0.0,95.63980981188097
1,0.033181,0.065111,0,0,603979776,8192,True,v2,5.091189154447465,0,524288,5338498.758813905,,,,536870912,write,64,0.098208883,True,1024,0.0,1.125,100.08463287379006
1,0.246769,0.21437799999999996,1025765376,165641,0,0,True,v2,0.008086175722616199,5300,84790,8478.969794518003,118.768,136.087,133.517,86824960,read,1,10.000035624,True,1024,12097.716428824153,0.0,4.611453572157794
1,5.9023259999999995,4.0411470000000005,37635620864,6076758,0,0,True,v2,0.29673433368438606,194472,3111537,311148.5006774388,203.536,355.283,297.064,3186213888,read,64,10.000167101,True,1024,12095.508060485863,0.0,99.43306846348267
1,0.007596999999999993,0.055839,0,0,578818048,6145,True,legacy,7.844596042134581,0,131072,2056413.7848693277,,,,536870912,write,64,0.063738145,True,4096,0.0,1.0781326293945312,99.52595890576984
1,0.189072,0.00449999999999999,6865698816,74189,0,0,True,legacy,0.01704977800335319,2794,44696,4469.497004911019,232.856,598.108,396.582,183074816,read,1,10.00023044,True,4096,153608.7975657777,0.0,1.9356753942962137
1,2.896481,0.486282,124614811648,1345759,0,0,True,legacy,0.309847562520258,50772,812348,81224.67942931052,601.408,4709.945,3095.677,3327377408,read,64,10.001245997,True,4096,153400.77361918785,0.0,33.8234156125617
1,0.024956,0.030158,0,0,553648128,6144,True,v2,8.566796529021891,0,131072,2245734.3093039147,,,,536870912,write,64,0.058364874,True,4096,0.0,1.03125,94.43008478010249
1,0.35084,0.117081,1019953152,166008,0,0,True,v2,0.03166318630235732,5188,83004,8300.314310045158,122.988,135.537,133.027,339984384,read,1,10.000103237,True,4096,12288.0,0.0,4.679161693738423
1,5.808455,4.12917,37164957696,6048873,0,0,True,v2,1.1537300086118876,189031,3024492,302443.39937755466,206.615,345.973,296.644,12388319232,read,64,10.000191792,True,4096,12288.0,0.0,99.37434407958003
1,0.0072479999999999906,0.040189,0,0,537399296,4225,True,legacy,7.416609937017259,0,128,1898.6521438764182,,,,536870912,write,64,0.067416246,True,4194304,0.0,1.0009841918945312,70.36434511645753
1,0.383256,1.298704,48764416000,383295,0,0,True,legacy,4.536876742108172,726,11615,1161.440445979692,827.833,1842.742,1244.205,48716840960,read,1,10.00051276,True,4194304,4198400.0,0.0,16.818737602410703
1,0.939805,3.727796,121107046400,951918,0,0,True,legacy,11.26303080752815,1803,28846,2883.3358867272063,5457.149,11716.213,10155.304,120988893184,read,16,10.004384204,True,4194304,4198400.0,0.0,46.65555525280384
