threshold,variant,repetitions,median_write_gib,min_write_gib,max_write_gib,median_write_seconds,min_write_seconds,max_write_seconds,median_write_cpu_us_per_record,min_write_cpu_us_per_record,max_write_cpu_us_per_record
default,baseline,3,36.532849788804825,34.41429628768527,36.71019355832283,0.273659423,0.272337398,0.290505972,28.458577533577532,28.239761904761906,28.680427350427347
default,current,3,28.469481051089303,27.705011299213755,28.9570468087549,0.351167574,0.345254772,0.360857409,36.6921978021978,36.157118437118434,36.93052503052504
high,baseline,3,35.74634136418559,32.9753549356028,37.641219752671056,0.279680611,0.265601345,0.303182744,28.74370573870574,27.19045787545788,30.87428571428571
high,current,3,35.51621248047206,32.722593804276414,37.11736943057507,0.281492814,0.269349869,0.305524637,28.77625152625153,27.509230769230765,29.541996336996338
low,baseline,3,29.673823426811293,27.425971656566304,29.711124254477294,0.33691508,0.3364921,0.364528875,35.54209401709401,35.52474358974358,37.51268620268621
low,current,3,29.221474091836107,28.39564692654235,29.657807959036315,0.342130536,0.337097017,0.352080677,36.18650183150183,35.6335409035409,37.17677045177045
