original_path,archived_path,original_sha256,archived_sha256,change
benchmarks/cache-disk/reports/2026-09-16-native/IO_WQ.md,docs/experiments/cache-disk/2026-09-16-native/IO_WQ.md,ad93262b464d185518b3e9f36c8708ab4c4b7bcea85e34ca095ef3046c857fe8,ad93262b464d185518b3e9f36c8708ab4c4b7bcea85e34ca095ef3046c857fe8,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/PROFILING.md,docs/experiments/cache-disk/2026-09-16-native/PROFILING.md,73888a20316f1d7298854c6a4452250bdd9bbe86657c19ffcbf66321da416faf,73888a20316f1d7298854c6a4452250bdd9bbe86657c19ffcbf66321da416faf,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/README.md,docs/experiments/cache-disk/2026-09-16-native/README.md,415f11f852e09d01cdb5ecfa1e4e7e274c039b40a6179f0384f59393ab862dbe,c663503d6ad0b7155ca1b439ca9cbd7ff9663179c06746ef089d253861098a8d,links relocated; deployment inventory generalized
benchmarks/cache-disk/reports/2026-09-16-native/REPORT.md,docs/experiments/cache-disk/2026-09-16-native/REPORT.md,ae7eb28f3dddb99b962b5bd829ce8fb5df45980eaf65bc6e5b73b0a434b5c584,ae7eb28f3dddb99b962b5bd829ce8fb5df45980eaf65bc6e5b73b0a434b5c584,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/io-wq-engine-queue.csv,docs/experiments/cache-disk/2026-09-16-native/io-wq-engine-queue.csv,4b3979f1cb9767f6240119ec49691b26db4f444cafb76ee175095e9a0d538367,4b3979f1cb9767f6240119ec49691b26db4f444cafb76ee175095e9a0d538367,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/io-wq-probe.csv,docs/experiments/cache-disk/2026-09-16-native/io-wq-probe.csv,21c9c6e0bc9790946e817bdec7881a745465c6cc4e77008112bd46970c7e9f24,21c9c6e0bc9790946e817bdec7881a745465c6cc4e77008112bd46970c7e9f24,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/prefill-summary.csv,docs/experiments/cache-disk/2026-09-16-native/prefill-summary.csv,b604d2b9f86186eaaae50f7980d0e12357ab76105aed67c6e406dff0ca6a20e7,b604d2b9f86186eaaae50f7980d0e12357ab76105aed67c6e406dff0ca6a20e7,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/prefill.csv,docs/experiments/cache-disk/2026-09-16-native/prefill.csv,7ac0559c4d1659cb08c74066ed3944850ef72ca2f81dca6829ea2bb38fbc3680,7ac0559c4d1659cb08c74066ed3944850ef72ca2f81dca6829ea2bb38fbc3680,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/profile-hotspots.csv,docs/experiments/cache-disk/2026-09-16-native/profile-hotspots.csv,188716ec829c39c02e3dff15f0e167ae50de918affed50f992d8da08643c0de1,188716ec829c39c02e3dff15f0e167ae50de918affed50f992d8da08643c0de1,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/runtime.csv,docs/experiments/cache-disk/2026-09-16-native/runtime.csv,ade3f9172db2498812df6e928af2537a9a45a2eeaac291d1194f55da78dfdad2,ade3f9172db2498812df6e928af2537a9a45a2eeaac291d1194f55da78dfdad2,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/samples.csv,docs/experiments/cache-disk/2026-09-16-native/samples.csv,0ba56ab465e55dff5dbbb3c7a9c330b6d2abfd596f8f2ec49cee4cd8d9364045,0ba56ab465e55dff5dbbb3c7a9c330b6d2abfd596f8f2ec49cee4cd8d9364045,byte-identical
benchmarks/cache-disk/reports/2026-09-16-native/summary.csv,docs/experiments/cache-disk/2026-09-16-native/summary.csv,81718566c1d01da5efcfc2d7127b71874ecd66865d7937aae485948a84057578,81718566c1d01da5efcfc2d7127b71874ecd66865d7937aae485948a84057578,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/README.md,docs/experiments/cache-disk/2026-09-16-split/README.md,37ae88f8233622d9101ded60f3a0674eae8439952f620f1fb2ee5e99bee256cf,bf2bf7981da37d4d0271e69a53f6db2011e59e56a94d8784471411210a1f666a,links relocated; deployment inventory generalized
benchmarks/cache-disk/reports/2026-09-16-split/REPORT.md,docs/experiments/cache-disk/2026-09-16-split/REPORT.md,9e7d14709b795c696c66fb36291fe874f5aa79e6a93b8f48c106368ce12b9d88,9e7d14709b795c696c66fb36291fe874f5aa79e6a93b8f48c106368ce12b9d88,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/prefill-summary.csv,docs/experiments/cache-disk/2026-09-16-split/prefill-summary.csv,f1d06ffb708718ef7254b7b798ac87076c15d9edd9176430e895ae66c8499244,f1d06ffb708718ef7254b7b798ac87076c15d9edd9176430e895ae66c8499244,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/prefill.csv,docs/experiments/cache-disk/2026-09-16-split/prefill.csv,0d866fe5afc8293912517c6dc8971eddb6283855896cb9d0225bc50655ab2ff5,0d866fe5afc8293912517c6dc8971eddb6283855896cb9d0225bc50655ab2ff5,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/runtime-phases.csv,docs/experiments/cache-disk/2026-09-16-split/runtime-phases.csv,44c03e6363a1c468ac957683df737a61670c02c9118f02c0d6a47d2ab57af23a,44c03e6363a1c468ac957683df737a61670c02c9118f02c0d6a47d2ab57af23a,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/runtime.csv,docs/experiments/cache-disk/2026-09-16-split/runtime.csv,22f82d151221d68c06747fd1bbd186bc3840678a22c6144be693000f1203745a,22f82d151221d68c06747fd1bbd186bc3840678a22c6144be693000f1203745a,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/samples.csv,docs/experiments/cache-disk/2026-09-16-split/samples.csv,16fc1625abd7ec41e47a85a1a1eddc56124e16ebd9f9d80966cdf2cb427b87d1,16fc1625abd7ec41e47a85a1a1eddc56124e16ebd9f9d80966cdf2cb427b87d1,byte-identical
benchmarks/cache-disk/reports/2026-09-16-split/summary.csv,docs/experiments/cache-disk/2026-09-16-split/summary.csv,f93ca054d9a003404bfeb4bfadcf3865ea006e3523ec68f6351868c2d33b0657,f93ca054d9a003404bfeb4bfadcf3865ea006e3523ec68f6351868c2d33b0657,byte-identical
benchmarks/engine/reports/2026-09-15/REPORT.md,docs/experiments/engine/2026-09-15/REPORT.md,f7f2967f047d2310884d9ad5c9ef931c8b3c0db9c6be9f3ed91452eabdbbdf22,54e967e8d87d6b6d69b580325abbb2cb107b3a57e954701b226e994ff2be1941,links relocated; deployment inventory generalized
benchmarks/engine/reports/2026-09-15/fio-samples.csv,docs/experiments/engine/2026-09-15/fio-samples.csv,e81566b54b2e33f745271f117413d596e8b28c0af4e71ef159ad723b40cc4a27,e81566b54b2e33f745271f117413d596e8b28c0af4e71ef159ad723b40cc4a27,byte-identical
benchmarks/engine/reports/2026-09-15/samples.csv,docs/experiments/engine/2026-09-15/samples.csv,4004cbee0d1dad6f72e310e51c0cb4fdfbddd4ded60842125be5d6bfcb7fe825,4004cbee0d1dad6f72e310e51c0cb4fdfbddd4ded60842125be5d6bfcb7fe825,byte-identical
benchmarks/engine/reports/2026-09-15/summary.csv,docs/experiments/engine/2026-09-15/summary.csv,17daabe6eb2f6cf70fcf535c752f143ad6f48e3a7b187c66875cb85b68d797bd,17daabe6eb2f6cf70fcf535c752f143ad6f48e3a7b187c66875cb85b68d797bd,byte-identical
benchmarks/engine/reports/2026-09-15-direct/REPORT.md,docs/experiments/engine/2026-09-15-direct/REPORT.md,c63b4681dd80777333d27004c8409206fa009571afbe9c8a416902c3d9a7ecc1,212b9f96ed4ab4852a110f747ce1c6ce0fedfc09b0574050c9fba09554f83451,links relocated; deployment inventory generalized
benchmarks/engine/reports/2026-09-15-direct/full/samples.csv,docs/experiments/engine/2026-09-15-direct/full/samples.csv,3d182e30bf7efeafb3295207172acd27b3ff7aaa0fe68055971f270b2273ce17,3d182e30bf7efeafb3295207172acd27b3ff7aaa0fe68055971f270b2273ce17,byte-identical
benchmarks/engine/reports/2026-09-15-direct/full/summary.csv,docs/experiments/engine/2026-09-15-direct/full/summary.csv,5e2a126def3f41f0d9f6b59b48b27e435a023b40b5c29be8108255c98aedb523,5e2a126def3f41f0d9f6b59b48b27e435a023b40b5c29be8108255c98aedb523,byte-identical
benchmarks/engine/reports/2026-09-15-direct/range-4k/samples.csv,docs/experiments/engine/2026-09-15-direct/range-4k/samples.csv,1d5307dafa5929e251145c5c7264726d1fcfdad8fce4be3bb7ca2a9ded82950d,1d5307dafa5929e251145c5c7264726d1fcfdad8fce4be3bb7ca2a9ded82950d,byte-identical
benchmarks/engine/reports/2026-09-15-direct/range-4k/summary.csv,docs/experiments/engine/2026-09-15-direct/range-4k/summary.csv,966023cc0e59f93b96f4a9bc00dbfeb082bddd5904c3e8df99363542ca7be030,966023cc0e59f93b96f4a9bc00dbfeb082bddd5904c3e8df99363542ca7be030,byte-identical
benchmarks/engine/reports/2026-09-15-direct/range-cross/samples.csv,docs/experiments/engine/2026-09-15-direct/range-cross/samples.csv,d8b37002e84d1a6879a5ad382909ab922b8e75cf80ed6c2bd502a08a61d1cec7,d8b37002e84d1a6879a5ad382909ab922b8e75cf80ed6c2bd502a08a61d1cec7,byte-identical
benchmarks/engine/reports/2026-09-15-direct/range-cross/summary.csv,docs/experiments/engine/2026-09-15-direct/range-cross/summary.csv,f98c01183efc7d601601cd5750bed60ab7a3bc5091ca5c8db5ce3189c34131f7,f98c01183efc7d601601cd5750bed60ab7a3bc5091ca5c8db5ce3189c34131f7,byte-identical
benchmarks/engine/reports/2026-09-15-registered/REPORT.md,docs/experiments/engine/2026-09-15-registered/REPORT.md,ef1e84c3e9d77d074a3c66b34328e10a1035893deb67a59abc622a47935d6310,909b84a49f0881aa734f61e4a0f7d1ff5c6afe2f2def282ce9c47c631b55f4c8,links relocated; deployment inventory generalized
benchmarks/engine/reports/2026-09-15-registered/disabled/samples.csv,docs/experiments/engine/2026-09-15-registered/disabled/samples.csv,90328c103ecd3427163a80c4c06aaa734d89679e033a9a3525c165846c3148fe,90328c103ecd3427163a80c4c06aaa734d89679e033a9a3525c165846c3148fe,byte-identical
benchmarks/engine/reports/2026-09-15-registered/disabled/summary.csv,docs/experiments/engine/2026-09-15-registered/disabled/summary.csv,1d8762c21f8a576fc6680720df239b3c8388acb30695676bc693d58b4a5989b7,1d8762c21f8a576fc6680720df239b3c8388acb30695676bc693d58b4a5989b7,byte-identical
benchmarks/engine/reports/2026-09-15-registered/preferred/samples.csv,docs/experiments/engine/2026-09-15-registered/preferred/samples.csv,278f9d7924c6b572d648001dcf07d49e656ab213ed23d032c4dda40cc37194a7,278f9d7924c6b572d648001dcf07d49e656ab213ed23d032c4dda40cc37194a7,byte-identical
benchmarks/engine/reports/2026-09-15-registered/preferred/summary.csv,docs/experiments/engine/2026-09-15-registered/preferred/summary.csv,77bffcbfed409a0f7d5783ca7a8cc988d8f4548307d3723531834db3a33e92b9,77bffcbfed409a0f7d5783ca7a8cc988d8f4548307d3723531834db3a33e92b9,byte-identical
benchmarks/engine/reports/2026-09-16-full/REPORT.md,docs/experiments/engine/2026-09-16-full/REPORT.md,d899e1093a461d717906392d35701fa5eb37ee4942a32c2ecd9898f7a8480d94,a6aeab2ab837fe0fe1265d0e4fc8b544132eac68795c88c84b50cf3b98816ee7,links relocated; deployment inventory generalized
benchmarks/engine/reports/2026-09-16-full/fill-progress.csv,docs/experiments/engine/2026-09-16-full/fill-progress.csv,2f9641522c086c225fc1613266e8678a5065f8625cc268f1fd6c9ab264a57f1f,2f9641522c086c225fc1613266e8678a5065f8625cc268f1fd6c9ab264a57f1f,byte-identical
benchmarks/engine/reports/2026-09-16-full/samples.csv,docs/experiments/engine/2026-09-16-full/samples.csv,7a0353f8217b554eb40907d9bdbeeecdb4196935d36e68b56762582300a1cd63,7a0353f8217b554eb40907d9bdbeeecdb4196935d36e68b56762582300a1cd63,byte-identical
benchmarks/engine/reports/2026-09-16-full/summary.csv,docs/experiments/engine/2026-09-16-full/summary.csv,47403146e864900fb25ccd8baef5233a47228a6e55afec4390d9ee0ab58ea3aa,47403146e864900fb25ccd8baef5233a47228a6e55afec4390d9ee0ab58ea3aa,byte-identical
