repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,huge_pages,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,seconds,verified_reads,workload,memory_arena_backing,memory_deferred_taskrun,memory_fixed_files,memory_observed_anon_huge_bytes,memory_observed_hugetlb_bytes,memory_pool_bytes,memory_registered_buffers,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,0.09300600000000003,1.305131,0,0,1030795264,83885,True,legacy,0.357643894710823,Disabled,0,5368704,3840172.07849263,,,,536870400,write,64,full,1.398037351,False,100,Plain,True,True,,,1073741824,True,0.0,1.9200076294018071,100.00712777809039
0,0.039823,0.14815299999999998,355532800,86800,0,0,True,legacy,0.001616768457654934,Disabled,5425,86800,17359.919127080753,55.779,64.889,63.638,8680000,read,1,full,5.000023293,False,100,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.759502485981718
0,2.3363,2.3847940000000003,16501039104,4028546,0,0,True,legacy,0.07503676153372615,Disabled,251786,4028574,805701.0919627616,73.068,168.486,131.887,402857400,read,64,full,5.000085069,False,100,Plain,True,True,0,0,1073741824,True,4096.0,0.0,94.42027355234985
0,0.22393600000000002,0.65766,0,0,1030791168,83886,True,v2,0.5672173812656442,Disabled,0,5368704,6090450.255646762,,,,536870400,write,64,full,0.881495419,False,100,Plain,True,True,,,1073741824,True,0.0,1.92,100.01141026916672
0,0.06556100000000004,0.125066,355717120,86845,0,0,True,v2,0.0016176041183520084,Disabled,5428,86845,17368.891965491974,55.808,64.168,63.609,8684500,read,1,full,5.0000311,False,100,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.812516286148701
0,2.309706,2.4241690000000005,16353632256,3992568,0,0,True,v2,0.07436620433051837,Disabled,249537,3992586,798501.0388180749,73.718,167.157,132.618,399258600,read,64,full,5.000101197,False,100,Plain,True,True,0,0,1073741824,True,4096.0,0.0,94.67558382298877
0,0.007998000000000005,0.130863,0,0,738201600,8193,True,legacy,3.602544105118894,Disabled,0,524288,3777541.2875691494,,,,536870912,write,64,full,0.138790806,False,1024,Plain,True,True,,,1073741824,True,0.0,1.3750076293945312,100.05057539618296
0,0.09592200000000001,0.09029500000000001,355790848,86863,0,0,True,legacy,0.016567764966169077,Disabled,5429,86863,17372.560717165707,55.739,64.049,63.588,88947712,read,1,full,5.000011306,False,1024,Plain,True,True,0,0,1073741824,True,4096.0,0.0,3.724331578541435
0,2.5157179999999997,2.129403,17168252928,4191434,0,0,True,legacy,0.7994390419853423,Disabled,261967,4191468,838272.5928888223,70.639,167.697,129.698,4292063232,read,64,full,5.0001253,False,1024,Plain,True,True,0,0,1073741824,True,4096.0,0.0,92.9000919236964
0,0.03497399999999999,0.056946,0,0,603979776,8192,True,v2,5.445518389009166,Disabled,0,524288,5710039.890273675,,,,536870912,write,64,full,0.091818623,False,1024,Plain,True,True,,,1073741824,True,0.0,1.125,100.1104100635445
