engine,disks,key_bytes,value_bytes,clients,repeat,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
foyer,1,16,128,8,1,145521.6403034514,0.017347531354838776,0.5551004043519387,145516.24039843463,53.791,63.935,91.775,1.5618541272982716,10.732796332156438,63.0,31.998812568631198,145516.24039843463,145516.24039843463
foyer,1,16,128,8,2,145779.28613447287,0.017378245131310567,0.556076378930607,145772.08627838505,53.695,63.935,91.583,1.563545747534889,10.72543149986761,63.0,31.998419560138345,145772.08627838505,145772.08627838505
foyer,1,16,128,8,3,145721.96921619546,0.017371412422203476,0.5558531547199188,145713.5693908984,53.727,63.935,91.135,1.5616589199931186,10.716702007205354,63.0,31.99815542974781,145713.5693908984,145713.5693908984
foyer,1,16,128,32,1,540780.2092450905,0.06446602454723006,2.0624466634581125,540657.8181601305,58.271,89.727,105.023,2.481385254409237,4.588528226417829,63.0,31.992769492821637,540657.8181601305,540657.8181601305
foyer,1,16,128,32,2,540373.8683909302,0.06441758494269016,2.060860746859119,540241.8796587819,58.303,89.791,104.959,2.485333427582353,4.599285000555121,63.0,31.99220754228193,540241.8796587819,540241.8796587819
foyer,1,16,128,32,3,540326.5613436213,0.06441194550318972,2.0607222474042968,540205.572861628,58.303,89.791,104.767,2.4835909641270857,4.596462846377902,63.0,31.99285833250058,540205.572861628,540205.572861628
foyer,1,16,128,128,1,845215.0082594095,0.10075748065226191,3.221142213809773,844398.5061747287,151.039,200.831,226.047,2.9903599139569845,3.537987239619859,63.0,31.96926117006342,844398.5061747287,844398.5061747287
foyer,1,16,128,128,2,843303.059140762,0.1005295585561707,3.2138927320665194,842497.4978955816,151.423,201.087,226.303,2.9910219113546415,3.5467936217404232,63.0,31.969629412733994,842497.4978955816,842497.4978955816
foyer,1,16,128,128,3,849804.2762879522,0.1013045640335026,3.2386105558944713,848975.5276260396,150.271,199.807,224.639,2.9904790648539894,3.519020965529573,63.0,31.969048845848892,848975.5276260396,848975.5276260396
foyer,1,16,4096,8,1,135186.41224939591,0.5156952371574246,1.031338596039101,135179.61246003705,57.727,85.247,99.903,1.602307764350999,11.852579987070106,63.0,1.9998994012897346,135179.61246003705,135179.61246003705
foyer,1,16,4096,8,2,135211.9010513974,0.5157924692207237,1.031528482215848,135204.50122099562,57.695,85.375,99.455,1.6036892447254618,11.860562807380836,63.0,1.9998905446880892,135204.50122099562,135204.50122099562
foyer,1,16,4096,8,3,135196.19147984879,0.5157325419610931,1.0314055757049814,135188.39161880332,57.727,85.183,99.711,1.6019626610351938,11.849170035784395,63.0,1.999884614189792,135188.39161880332,135188.39161880332
foyer,1,16,4096,32,1,446009.4164243638,1.7013909012770225,3.402028099122978,445910.62700824696,69.823,108.607,133.759,2.4945143482096923,5.592963413660848,63.0,1.9995570074869322,445910.62700824696,445910.62700824696
foyer,1,16,4096,32,2,445981.2064294534,1.7012832886865745,3.4017625181449556,445875.8167782956,69.823,108.671,133.631,2.4877889090802827,5.578237094333275,63.0,1.9995273807522,445875.8167782956,445875.8167782956
foyer,1,16,4096,32,3,446062.87251663575,1.7015948200860433,3.402393210171136,445958.2828633345,69.823,108.671,133.759,2.490144658455432,5.582497024256515,63.0,1.9995319508548397,445958.2828633345,445958.2828633345
foyer,1,16,4096,128,1,692076.35293686,2.6400617711519625,5.274984347711348,691399.3494096475,184.319,250.751,282.623,2.9975334876050823,4.331217899419481,63.0,1.9980533809289112,691399.3494096475,691399.3494096475
foyer,1,16,4096,128,2,693338.9193631469,2.6448780798459888,5.284621715141103,692664.9377709257,183.935,250.367,281.343,2.997289110480013,4.322978310857143,63.0,1.9980587216514822,692664.9377709257,692664.9377709257
foyer,1,16,4096,128,3,693638.4927048262,2.646020861453347,5.286991162349792,692974.3063389095,183.807,250.367,281.599,2.9975912313751283,4.321546832970724,63.0,1.9980912620038347,692974.3063389095,692974.3063389095
foyer,1,256,65536,8,1,89695.19336564344,5.474560141946011,5.811765777035362,89618.79575618576,86.847,130.495,154.367,1.7300194663068837,19.287761154094852,80.1953125,1.0615950188409997,89618.79575618576,89618.79575618576
foyer,1,256,65536,8,2,89721.50310082176,5.476165960743516,5.81382215261196,89650.50555142997,86.783,130.879,155.263,1.7258986275022543,19.236176031991228,80.1953125,1.061659232807948,89650.50555142997,89650.50555142997
foyer,1,256,65536,8,3,89627.08757390607,5.4704032943057905,5.807349143438283,89550.6902269109,86.847,131.071,155.775,1.7289193608547073,19.29014327760063,80.1953125,1.0615943342757241,89550.6902269109,89550.6902269109
foyer,1,256,65536,32,1,206874.79187173618,12.626635246077647,13.365026687958109,206091.85624047593,143.359,315.903,418.047,2.4246864553729455,11.720550548644265,80.1953125,1.0584788763981947,206091.85624047593,206091.85624047593
foyer,1,256,65536,32,2,206813.715235122,12.622907424018678,13.360573227609152,206023.18283402195,143.359,316.671,420.607,2.424422886144351,11.722737456691773,80.1953125,1.0584386606675775,206023.18283402195,206023.18283402195
foyer,1,256,65536,32,3,206766.64738329302,12.620034630327943,13.357870913541175,205981.5125152552,143.359,317.183,422.911,2.430162802442494,11.753166350555501,80.1953125,1.0584654721501394,205981.5125152552,205981.5125152552
