engine,disks,key_bytes,value_bytes,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_write_bytes,write_amplification,cpu_cores
foyer,1,16,128,131072,0.130599672,1003616.6093893406,0.11964042298666723,4.019199668795995,563613696,33.593994140625,2.8998235156363945
foyer,1,16,4096,130561,0.185272885,704695.6709288572,2.6882006489900863,5.480420030057117,1090248704,2.038694556567428,2.513805514498249
foyer,1,256,65536,8160,0.087840974,92895.14481021123,5.669869678357619,6.0298820836393645,568729600,1.0634957107843137,1.695723455889731
foyer,1,4096,262144,2048,0.111374919,18388.341095000033,4.489341087646492,4.63127704244391,553844736,1.0316162109375,1.8966837587554164
foyer,20,16,128,2621440,15.953816515,164314.28790316635,0.01958778952397899,1.2197377748423979,20894449664,62.2703125,24.977848443056384
foyer,20,16,4096,2611220,14.571600936,179199.25281159923,0.6835908997024507,2.0168578236635164,31556034560,2.950387175343326,24.6345653834889
foyer,20,256,65536,163200,1.187674066,137411.43691858638,8.386928522862938,9.391153366296132,11976118272,1.1197369025735293,24.887081267631217
foyer,20,4096,262144,40960,0.701457543,58392.70018370877,14.256030318288273,14.889270324667258,11214364672,1.0444190979003907,25.12899344501026
moat,1,16,128,131072,0.69157447,189526.95000438637,0.022593373060749336,0.7310467558252665,542855168,32.356689453125,2.2374828266867626
moat,1,16,4096,130561,0.730031177,178843.04686346292,0.6822320818460957,1.3725844190149052,1075920896,2.0119024823645653,2.262012982494856
moat,1,256,65536,8160,0.068952556,118342.24100408982,7.223037170659779,8.135653754354662,602341376,1.1263480392156864,2.6206425183136064
moat,1,4096,262144,2048,0.09056427,22613.774725948766,5.5209410952023354,5.783947352819854,562446336,1.047637939453125,2.377460780062601
moat,20,16,128,2621440,24.406156577,107408.96428036547,0.012804146323247608,0.4147322700934562,10868436992,32.39046630859375,21.404979573568518
moat,20,16,4096,2611220,26.040688667,100274.61383189386,0.3825172951961283,0.7699024489868475,21527224320,2.012725852283607,21.451924069424226
moat,20,256,65536,163200,2.354827823,69304.42999101595,4.230006713318844,4.764548864524185,12047052800,1.1263691023284315,21.642698673006127
moat,20,4096,262144,40960,1.350398196,30331.794074760448,7.4052231627833125,7.758001210054228,11248939008,1.0476390838623046,21.67399444600562
