repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,huge_pages,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,seconds,verified_reads,workload,memory_arena_backing,memory_deferred_taskrun,memory_fixed_files,memory_observed_anon_huge_bytes,memory_observed_hugetlb_bytes,memory_pool_bytes,memory_registered_buffers,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,0.207977,5.4999999999999494e-05,27955036160,213280,0,0,True,legacy,5.2063937531169,Preferred,417,6665,1332.8368007979263,713.515,2256.514,1416.861,27955036160,read,1,full,5.000612225,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,4.160130612807115
0,0.505228,0.0021010000000000056,61962452992,472736,0,0,True,legacy,11.535531780440811,Preferred,924,14773,2953.0961357928477,5175.103,11560.232,10282.689,61962452992,read,16,full,5.00254625,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,10.141415484164689
0,1.111911,0.006439,62612570112,477696,0,0,True,legacy,11.616445928685152,Preferred,933,14928,2973.810157743399,21167.454,35593.777,32772.125,62612570112,read,64,full,5.019822789,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,22.278674905629227
0,0.005019999999999997,0.039947,0,0,537395200,4224,True,v2,8.547541124570925,Preferred,0,128,2188.170527890157,,,,536870912,write,64,full,0.058496355,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,0.0,1.0009765625,76.87145634971615
0,0.23374399999999998,0.0018310000000000132,31692161024,241792,0,0,True,v2,5.902938373880959,Preferred,473,7556,1511.1522237135255,633.107,1483.899,927.451,31692161024,read,1,full,5.000158079,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,4.711351046867572
0,0.509645,0.0,62432215040,476320,0,0,True,v2,11.621604809427367,Preferred,931,14885,2975.130831213406,5152.104,12250.398,10491.833,62432215040,read,16,full,5.003141322,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,10.186500184573438
0,1.112322,0.004424999999999998,62704844800,478400,0,0,True,v2,11.643969959823371,Preferred,935,14950,2980.856309714783,21136.075,36588.567,31993.991,62704844800,read,64,full,5.015337355,False,4194304,Transparent,True,True,1073741824,0,1073741824,True,4194304.0,0.0,22.26663773448197
0,0.009212999999999999,0.032487999999999996,0,0,570429440,8193,True,legacy,9.159415691562904,Preferred,0,8192,150067.86669056662,,,,536870912,write,64,full,0.054588635,False,65536,Transparent,True,True,1073741824,0,1073741824,True,0.0,1.0625076293945312,76.39135875077294
0,0.07007,0.022449000000000004,2617704448,39943,0,0,True,legacy,0.4875779194554242,Preferred,2497,39943,7988.4766323576705,117.797,293.093,160.847,2617704448,read,1,full,5.000077216,False,65536,Transparent,True,True,1073741824,0,1073741824,True,65536.0,0.0,1.8503514246528785
0,1.432353,0.482221,62382997504,951889,0,0,True,legacy,11.618762691220075,Preferred,59494,951889,190361.8079329497,263.665,1861.511,1195.565,62382997504,read,64,full,5.000420044,False,65536,Transparent,True,True,1073741824,0,1073741824,True,65536.0,0.0,38.28826344893357
