engine,disks,key_bytes,value_bytes,clients,samples,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops,min_ops_per_second,max_ops_per_second
foyer,20,16,100,160,1,2309251,5.000506594,461803.4106325988,0.043008794135656093,1.7615784159614452,461784.0125979844,2309154,9458360320,325.631,734.719,950.271,46.8143486263744,234.095459,101.37289493433153,587.64453125,40.958563274412356,22527.717518694266,25264.44023723249,461803.4106325988,461803.4106325988
foyer,20,16,100,640,3,2920197,5.00105032,583907.9941918838,0.05438066964893452,2.227001265015764,583785.0218662401,2919582,11958812672,1059.839,2109.439,2559.999,52.49445640450982,262.5274179999999,89.74445182979093,586.0078125,40.952151131636725,27954.309011346817,30940.73630073051,517575.0761092122,589542.241206467
foyer,20,16,100,2560,1,2604568,5.003738181,520524.4370878485,0.04847761588989277,1.9838271827531608,520039.0000181746,2602139,10658553856,4886.527,7675.903,8708.095,52.4395213155538,262.3936349999999,100.7436300376876,604.0,40.922540152532015,25214.948391801157,27856.9731184742,520524.4370878485,520524.4370878485
foyer,20,16,1024,160,1,2314992,5.000388935,462962.38754476,0.4415153384635544,1.7659972719248962,462943.7889914857,2314899,9481863168,325.119,718.335,911.359,46.83436149552236,234.19002300000005,101.16234656534454,591.26953125,3.9998548591096643,22525.04784410335,23973.935139507303,462962.38754476,462962.38754476
foyer,20,16,1024,640,3,2959386,5.00104722,591753.2608300387,0.5643398865032565,2.256936203283136,591633.4859161758,2958787,12119371776,1042.431,2070.527,2486.271,52.58006548900387,262.95547,89.13457825373236,587.58984375,3.9992498443933977,28427.246083871207,30995.50817678542,524161.05879040185,593696.354601946
foyer,20,16,1024,2560,1,2631357,5.003702424,525881.9923780503,0.5015201495914939,2.004255472792939,525394.9530232896,2628920,10768232448,4833.279,7610.367,8634.367,52.40341007137397,262.21106999999995,99.64861096384867,604.83984375,3.9963608130709742,25099.21441323506,27942.508996813995,525881.9923780503,525881.9923780503
foyer,20,16,4096,160,1,2328740,5.000406061,465710.1786518293,1.7765433450768635,3.552961578244028,465691.3801784947,2328646,19076366336,323.327,709.631,897.023,46.58700416690021,232.95393800000005,100.03432671745239,655.125,1.9999295756503517,22739.1533033341,23844.46353865821,465710.1786518293,465710.1786518293
foyer,20,16,4096,640,3,2994983,5.000967781,598880.6829307586,2.2845485036115973,4.568219796641647,598758.3066174526,2994371,24530190336,1032.191,2024.447,2418.687,52.58145984676325,262.966848,87.84382181802033,655.125,1.9995990577857967,28904.40537313272,31470.9086105188,530629.6118622835,606477.0698361677
foyer,20,16,4096,2560,1,2648002,5.003570564,529222.475456229,2.0188235300301702,4.033822886654645,528713.6388229819,2645456,21671886848,4792.319,7348.223,8351.743,52.46855573275373,262.530121,99.14272005836854,656.37890625,1.9981057416119776,25411.65321317131,28048.969871587884,529222.475456229,529222.475456229
foyer,20,16,65536,160,1,2308332,5.000499629,461620.2722250017,28.175065443420515,29.91782495156761,461339.90024139645,2306930,160636149760,332.799,625.663,805.375,43.044114382435055,215.24207800000005,93.24571941991016,918.13671875,1.0618546747175017,22478.55381252744,23991.402639898086,461620.2722250017,461620.2722250017
foyer,20,16,65536,640,3,3202103,5.000912502,640308.7297409008,39.0813433679749,41.398685232844805,638377.4671575805,3192445,222296330240,970.239,1758.207,2099.199,53.79827874132626,269.03838999999994,84.01928045412653,934.203125,1.0592953482445755,30603.253213821252,33540.140101502446,556547.8393177513,643086.43646811
foyer,20,16,65536,2560,1,2829965,5.003674829,565577.3200125351,34.52010009842133,36.149338607440676,557431.3070534663,2789205,194217922560,4501.503,6578.175,7471.103,53.35164056880802,266.954261,94.33129420328518,1005.2734375,1.0471968072043294,26509.916118292185,29804.694568812476,565577.3200125351,565577.3200125351
foyer,20,16,4194304,160,1,91374,5.009841263,18238.901235222627,71.24570795008839,71.12094512251417,600331.795382875,3007567,382579200000,7311.359,26034.175,37945.343,52.16455198492783,261.33612500000004,2860.070972048942,14653.05859375,0.9982488372820769,29014.69175751008,31239.313140688624,18238.901235222627,18238.901235222627
foyer,20,16,4194304,640,3,51040,5.07767902,10051.836636180284,39.26498686007923,38.85901295472498,328063.2732866206,1665800,211863859200,58753.023,168427.519,226099.199,18.834290750422415,95.63448299999995,1907.8217077684203,15889.671875,0.9896606636645279,14418.842832684033,19180.58401646796,5582.932873829496,10452.304137064964
foyer,20,16,4194304,2560,1,22103,5.638973814,3919.6848095170108,15.311268787175823,14.679972356014659,124086.0523705209,699718,88884326400,636485.631,1059586.047,1367343.103,8.817469568054287,49.721480000000014,2249.535357191332,15606.953125,0.9587691627691942,5428.292630833628,7943.64391066846,3919.6848095170108,3919.6848095170108
v1,20,16,100,160,1,14065612,5.000293036,2812957.540434836,0.26197708588417956,10.730581437815994,2812950.9408216206,14065579,57612746752,55.487,90.559,107.327,19.998693732556678,99.999329,7.109490081199453,11264.99609375,40.96,140228.5815954727,140940.53986959174,2812957.540434836,2812957.540434836
v1,20,16,100,640,3,49957635,5.000459579,9990796.23320032,0.9304654070362747,38.11186307220581,9989773.907977276,49952523,204626472960,61.727,112.255,146.943,19.99811196768517,100.000076,2.001709368347801,11264.99609375,40.96,492882.6962926641,513841.81555424316,9986007.62566266,9994625.935961396
v1,20,16,100,2560,1,74758057,5.000324327,14950641.620651018,1.3923870046298037,57.032171709636756,14945887.329040045,74734284,306209001472,154.111,239.359,304.639,19.99874717326511,100.00022200000001,1.3376514320055164,11264.99609375,40.96,710591.3072106212,920895.0657732005,14950641.620651018,14950641.620651018
v1,20,16,1024,160,1,13878949,5.000317195,2775613.7178413537,2.647031514970163,10.588126059880652,2775611.917955537,13878940,56848175104,55.519,84.415,105.151,19.998534312981715,99.99901499999999,7.205085557991458,11264.99609375,4.0,138399.8200538156,139254.56582959834,2775613.7178413537,2775613.7178413537
